candidate,fit_count,held_batch,hessian_condition,model_seed,validation_count
score_platt,120,batch_701000,7.788415046133969,20,68
score_platt,122,batch_719000,10.475554682785845,20,63
score_platt,124,batch_737000,7.794700877471726,20,62
value_platt,120,batch_701000,3257.950526650429,20,68
value_platt,122,batch_719000,2897.3959439627947,20,63
value_platt,124,batch_737000,3457.956635948776,20,62
value_lcb_050,120,batch_701000,3257.950526650429,20,68
value_lcb_050,122,batch_719000,2897.3959439627947,20,63
value_lcb_050,124,batch_737000,3457.956635948776,20,62
value_lcb_100,120,batch_701000,3257.950526650429,20,68
value_lcb_100,122,batch_719000,2897.3959439627947,20,63
value_lcb_100,124,batch_737000,3457.956635948776,20,62
score_platt,120,batch_701000,1.4772742755450896,21,68
score_platt,122,batch_719000,2.332182689999262,21,63
score_platt,124,batch_737000,8.820874202244125,21,62
value_platt,120,batch_701000,7817.773461788749,21,68
value_platt,122,batch_719000,6554.204744276345,21,63
value_platt,124,batch_737000,3170.7519183126924,21,62
value_lcb_050,120,batch_701000,7817.773461788749,21,68
value_lcb_050,122,batch_719000,6554.204744276345,21,63
value_lcb_050,124,batch_737000,3170.7519183126924,21,62
value_lcb_100,120,batch_701000,7817.773461788749,21,68
value_lcb_100,122,batch_719000,6554.204744276345,21,63
value_lcb_100,124,batch_737000,3170.7519183126924,21,62
score_platt,120,batch_701000,5.104067829553164,22,68
score_platt,122,batch_719000,9.256483884054154,22,63
score_platt,124,batch_737000,6.335560042842181,22,62
value_platt,120,batch_701000,3535.3872073301313,22,68
value_platt,122,batch_719000,2906.0949502292374,22,63
value_platt,124,batch_737000,3132.3429676590763,22,62
value_lcb_050,120,batch_701000,3535.3872073301313,22,68
value_lcb_050,122,batch_719000,2906.0949502292374,22,63
value_lcb_050,124,batch_737000,3132.3429676590763,22,62
value_lcb_100,120,batch_701000,3535.3872073301313,22,68
value_lcb_100,122,batch_719000,2906.0949502292374,22,63
value_lcb_100,124,batch_737000,3132.3429676590763,22,62
