group_id,mean_cost_delta,mean_harm_delta,mean_total_return_delta,rollouts,scenario,source_seed,split,state_id,unit_index
task14u/seed8/medium/episode21/step4/unit0,0.26063570380210876,-0.7752066850662231,0.8555601835250854,32,medium,8,test,task14u/seed8/medium/episode21/step4,0
task14u/seed8/medium/episode21/step4/unit1,0.24886861443519592,0.0,-0.3520887792110443,32,medium,8,test,task14u/seed8/medium/episode21/step4,1
task14u/seed8/medium/episode21/step4/unit2,0.20538267493247986,-1.7729941606521606,2.2226104736328125,32,medium,8,test,task14u/seed8/medium/episode21/step4,2
task14u/seed8/medium/episode25/step23/unit0,0.3873845636844635,-2.614241600036621,1.435156226158142,32,medium,8,validation,task14u/seed8/medium/episode25/step23,0
task14u/seed8/medium/episode25/step23/unit2,0.5746190547943115,-5.11824893951416,5.093053817749023,32,medium,8,validation,task14u/seed8/medium/episode25/step23,2
task14u/seed8/medium/episode28/step0/unit0,0.21399959921836853,0.07914933562278748,0.6662384271621704,32,medium,8,test,task14u/seed8/medium/episode28/step0,0
task14u/seed8/medium/episode28/step0/unit1,0.48285314440727234,1.6564037799835205,-1.119154453277588,32,medium,8,test,task14u/seed8/medium/episode28/step0,1
task14u/seed8/medium/episode0/step26/unit2,0.25319287180900574,1.5375596284866333,-1.917219877243042,32,medium,8,train,task14u/seed8/medium/episode0/step26,2
task14u/seed8/medium/episode32/step2/unit0,0.6149481534957886,-1.5463604927062988,-1.4443020820617676,32,medium,8,test,task14u/seed8/medium/episode32/step2,0
task14u/seed8/medium/episode32/step2/unit1,0.3072139322757721,-0.5154535174369812,-0.44961583614349365,32,medium,8,test,task14u/seed8/medium/episode32/step2,1
task14u/seed8/medium/episode32/step2/unit2,0.4240037500858307,-0.5154535174369812,-1.902142882347107,32,medium,8,test,task14u/seed8/medium/episode32/step2,2
task14u/seed8/medium/episode18/step31/unit2,0.18595156073570251,0.0,-0.4060581922531128,32,medium,8,train,task14u/seed8/medium/episode18/step31,2
task14u/seed8/medium/episode2/step14/unit0,0.21785052120685577,-2.8323898315429688,-0.03496265411376953,32,medium,8,test,task14u/seed8/medium/episode2/step14,0
task14u/seed8/medium/episode2/step14/unit1,0.18529397249221802,0.2624208927154541,-0.9912924766540527,32,medium,8,test,task14u/seed8/medium/episode2/step14,1
task14u/seed8/medium/episode2/step14/unit2,0.42149561643600464,-2.485680103302002,1.3166377544403076,32,medium,8,test,task14u/seed8/medium/episode2/step14,2
task14u/seed8/medium/episode8/step33/unit2,0.5,-17.423580169677734,21.396364212036133,32,medium,8,test,task14u/seed8/medium/episode8/step33,2
task14u/seed8/medium/episode5/step12/unit2,0.1750715970993042,4.4604387283325195,-5.201725006103516,32,medium,8,train,task14u/seed8/medium/episode5/step12,2
task14u/seed8/medium/episode21/step37/unit2,0.12537233531475067,2.104182243347168,-2.5296630859375,32,medium,8,validation,task14u/seed8/medium/episode21/step37,2
task14u/seed8/medium/episode30/step17/unit2,0.282647967338562,-10.078693389892578,7.796627044677734,32,medium,8,train,task14u/seed8/medium/episode30/step17,2
task14u/seed8/medium/episode20/step26/unit2,0.3234189450740814,-3.681464195251465,4.195405960083008,32,medium,8,validation,task14u/seed8/medium/episode20/step26,2
task14u/seed8/medium/episode3/step33/unit2,0.2503058910369873,-4.124795913696289,1.8941068649291992,32,medium,8,test,task14u/seed8/medium/episode3/step33,2
task14u/seed8/medium/episode1/step27/unit2,0.2260890007019043,-0.9959461688995361,1.5010299682617188,32,medium,8,train,task14u/seed8/medium/episode1/step27,2
task14u/seed8/medium/episode20/step18/unit1,0.15368914604187012,0.5220089554786682,-0.9082603454589844,32,medium,8,train,task14u/seed8/medium/episode20/step18,1
task14u/seed8/medium/episode20/step18/unit2,0.45462310314178467,0.0,0.10334563255310059,32,medium,8,train,task14u/seed8/medium/episode20/step18,2
task14u/seed8/medium/episode35/step38/unit2,0.33513757586479187,-2.500053882598877,4.609617233276367,32,medium,8,validation,task14u/seed8/medium/episode35/step38,2
task14u/seed8/medium/episode24/step30/unit2,0.4473933279514313,-0.2655978202819824,0.5074890851974487,32,medium,8,train,task14u/seed8/medium/episode24/step30,2
task14u/seed8/medium/episode21/step9/unit0,0.18648937344551086,0.0,-0.2134464979171753,32,medium,8,test,task14u/seed8/medium/episode21/step9,0
task14u/seed8/medium/episode21/step9/unit2,0.34247907996177673,2.3902509212493896,-3.1244568824768066,32,medium,8,test,task14u/seed8/medium/episode21/step9,2
task14u/seed8/time_pressure/episode6/step1/unit0,0.1978500783443451,6.086358070373535,-7.898847579956055,32,time_pressure,8,train,task14u/seed8/time_pressure/episode6/step1,0
task14u/seed8/time_pressure/episode6/step1/unit1,0.3304947316646576,8.850902557373047,-7.398843765258789,32,time_pressure,8,train,task14u/seed8/time_pressure/episode6/step1,1
task14u/seed8/time_pressure/episode21/step26/unit2,0.022753022611141205,-3.536163330078125,2.771573543548584,32,time_pressure,8,test,task14u/seed8/time_pressure/episode21/step26,2
task14u/seed8/time_pressure/episode2/step13/unit0,0.19678394496440887,-2.0449512004852295,-1.3673655986785889,32,time_pressure,8,test,task14u/seed8/time_pressure/episode2/step13,0
task14u/seed8/time_pressure/episode2/step13/unit2,0.42192041873931885,7.0469818115234375,-6.2791972160339355,32,time_pressure,8,test,task14u/seed8/time_pressure/episode2/step13,2
task14u/seed8/time_pressure/episode12/step0/unit0,0.49976038932800293,-2.3199806213378906,0.7858933210372925,32,time_pressure,8,train,task14u/seed8/time_pressure/episode12/step0,0
task14u/seed8/time_pressure/episode12/step0/unit1,0.5151516795158386,-0.5852861404418945,-0.17522954940795898,32,time_pressure,8,train,task14u/seed8/time_pressure/episode12/step0,1
task14u/seed8/time_pressure/episode35/step22/unit2,0.31416505575180054,3.5879921913146973,-2.2182157039642334,32,time_pressure,8,train,task14u/seed8/time_pressure/episode35/step22,2
task14u/seed8/time_pressure/episode14/step24/unit0,0.24110578000545502,6.24361515045166,-5.613401412963867,32,time_pressure,8,test,task14u/seed8/time_pressure/episode14/step24,0
task14u/seed8/time_pressure/episode14/step24/unit2,0.3140139877796173,3.094087600708008,-6.148550987243652,32,time_pressure,8,test,task14u/seed8/time_pressure/episode14/step24,2
task14u/seed8/time_pressure/episode11/step17/unit1,0.3196888864040375,3.6973891258239746,-4.671756744384766,32,time_pressure,8,test,task14u/seed8/time_pressure/episode11/step17,1
task14u/seed8/time_pressure/episode5/step5/unit0,0.18620391190052032,2.929398536682129,-4.37900447845459,32,time_pressure,8,test,task14u/seed8/time_pressure/episode5/step5,0
