method,metric,train_seed,value
monolithic_difference_aware,engagement_mae,14,12.668902776462751
monolithic_difference_aware,engagement_rmse,14,15.683088263271124
monolithic_difference_aware,engagement_sign_accuracy,14,0.8235294117647058
monolithic_difference_aware,engagement_sign_count,14,17
monolithic_difference_aware,target_mae,14,12.223423060650626
monolithic_difference_aware,target_rmse,14,15.33911099952829
monolithic_difference_aware,target_ranking_accuracy,14,0.77
monolithic_difference_aware,target_ranking_count,14,100
monolithic_difference_aware,target_top_accuracy,14,0.6666666666666666
monolithic_difference_aware,target_top_count,14,24
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_accuracy,14,0.8
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_count,14,5
monolithic_difference_aware,scenario_heterogeneity_pressure_target_accuracy,14,0.6428571428571429
monolithic_difference_aware,scenario_heterogeneity_pressure_target_count,14,28
monolithic_difference_aware,scenario_medium_engagement_accuracy,14,0.8
monolithic_difference_aware,scenario_medium_engagement_count,14,5
monolithic_difference_aware,scenario_medium_target_accuracy,14,0.8666666666666667
monolithic_difference_aware,scenario_medium_target_count,14,30
monolithic_difference_aware,scenario_time_pressure_engagement_accuracy,14,0.8571428571428571
monolithic_difference_aware,scenario_time_pressure_engagement_count,14,7
monolithic_difference_aware,scenario_time_pressure_target_accuracy,14,0.7857142857142857
monolithic_difference_aware,scenario_time_pressure_target_count,14,42
hierarchical,engagement_mae,14,12.611760667370012
hierarchical,engagement_rmse,14,15.769831187856846
hierarchical,engagement_sign_accuracy,14,0.7058823529411765
hierarchical,engagement_sign_count,14,17
hierarchical,target_mae,14,14.802266815842854
hierarchical,target_rmse,14,18.138193884799154
hierarchical,target_ranking_accuracy,14,0.87
hierarchical,target_ranking_count,14,100
hierarchical,target_top_accuracy,14,0.875
hierarchical,target_top_count,14,24
hierarchical,scenario_heterogeneity_pressure_engagement_accuracy,14,0.6
hierarchical,scenario_heterogeneity_pressure_engagement_count,14,5
hierarchical,scenario_heterogeneity_pressure_target_accuracy,14,0.6785714285714286
hierarchical,scenario_heterogeneity_pressure_target_count,14,28
hierarchical,scenario_medium_engagement_accuracy,14,0.6
hierarchical,scenario_medium_engagement_count,14,5
hierarchical,scenario_medium_target_accuracy,14,0.9333333333333333
hierarchical,scenario_medium_target_count,14,30
hierarchical,scenario_time_pressure_engagement_accuracy,14,0.8571428571428571
hierarchical,scenario_time_pressure_engagement_count,14,7
hierarchical,scenario_time_pressure_target_accuracy,14,0.9523809523809523
hierarchical,scenario_time_pressure_target_count,14,42
monolithic_difference_aware,engagement_mae,15,13.330814216027242
monolithic_difference_aware,engagement_rmse,15,16.478676849432905
monolithic_difference_aware,engagement_sign_accuracy,15,0.8823529411764706
monolithic_difference_aware,engagement_sign_count,15,17
monolithic_difference_aware,target_mae,15,12.872129941855867
monolithic_difference_aware,target_rmse,15,16.08768361283876
monolithic_difference_aware,target_ranking_accuracy,15,0.8
monolithic_difference_aware,target_ranking_count,15,100
monolithic_difference_aware,target_top_accuracy,15,0.6666666666666666
monolithic_difference_aware,target_top_count,15,24
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_accuracy,15,0.8
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_count,15,5
monolithic_difference_aware,scenario_heterogeneity_pressure_target_accuracy,15,0.6071428571428571
monolithic_difference_aware,scenario_heterogeneity_pressure_target_count,15,28
monolithic_difference_aware,scenario_medium_engagement_accuracy,15,0.8
monolithic_difference_aware,scenario_medium_engagement_count,15,5
monolithic_difference_aware,scenario_medium_target_accuracy,15,0.8666666666666667
monolithic_difference_aware,scenario_medium_target_count,15,30
monolithic_difference_aware,scenario_time_pressure_engagement_accuracy,15,1.0
monolithic_difference_aware,scenario_time_pressure_engagement_count,15,7
monolithic_difference_aware,scenario_time_pressure_target_accuracy,15,0.8809523809523809
monolithic_difference_aware,scenario_time_pressure_target_count,15,42
hierarchical,engagement_mae,15,13.063792021479458
hierarchical,engagement_rmse,15,16.210727359863768
hierarchical,engagement_sign_accuracy,15,0.5882352941176471
hierarchical,engagement_sign_count,15,17
hierarchical,target_mae,15,15.123301620822813
hierarchical,target_rmse,15,18.293741512851845
hierarchical,target_ranking_accuracy,15,0.85
hierarchical,target_ranking_count,15,100
hierarchical,target_top_accuracy,15,0.8333333333333334
hierarchical,target_top_count,15,24
hierarchical,scenario_heterogeneity_pressure_engagement_accuracy,15,0.6
hierarchical,scenario_heterogeneity_pressure_engagement_count,15,5
hierarchical,scenario_heterogeneity_pressure_target_accuracy,15,0.6785714285714286
hierarchical,scenario_heterogeneity_pressure_target_count,15,28
hierarchical,scenario_medium_engagement_accuracy,15,0.6
hierarchical,scenario_medium_engagement_count,15,5
hierarchical,scenario_medium_target_accuracy,15,0.9666666666666667
hierarchical,scenario_medium_target_count,15,30
hierarchical,scenario_time_pressure_engagement_accuracy,15,0.5714285714285714
hierarchical,scenario_time_pressure_engagement_count,15,7
hierarchical,scenario_time_pressure_target_accuracy,15,0.8809523809523809
hierarchical,scenario_time_pressure_target_count,15,42
monolithic_difference_aware,engagement_mae,16,12.929845896394303
monolithic_difference_aware,engagement_rmse,16,16.04760257575243
monolithic_difference_aware,engagement_sign_accuracy,16,0.9411764705882353
monolithic_difference_aware,engagement_sign_count,16,17
monolithic_difference_aware,target_mae,16,12.464279300181403
monolithic_difference_aware,target_rmse,16,15.644556178837268
monolithic_difference_aware,target_ranking_accuracy,16,0.81
monolithic_difference_aware,target_ranking_count,16,100
monolithic_difference_aware,target_top_accuracy,16,0.6666666666666666
monolithic_difference_aware,target_top_count,16,24
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_accuracy,16,1.0
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_count,16,5
monolithic_difference_aware,scenario_heterogeneity_pressure_target_accuracy,16,0.6785714285714286
monolithic_difference_aware,scenario_heterogeneity_pressure_target_count,16,28
monolithic_difference_aware,scenario_medium_engagement_accuracy,16,0.8
monolithic_difference_aware,scenario_medium_engagement_count,16,5
monolithic_difference_aware,scenario_medium_target_accuracy,16,0.9
monolithic_difference_aware,scenario_medium_target_count,16,30
monolithic_difference_aware,scenario_time_pressure_engagement_accuracy,16,1.0
monolithic_difference_aware,scenario_time_pressure_engagement_count,16,7
monolithic_difference_aware,scenario_time_pressure_target_accuracy,16,0.8333333333333334
monolithic_difference_aware,scenario_time_pressure_target_count,16,42
hierarchical,engagement_mae,16,13.041375307314512
hierarchical,engagement_rmse,16,16.345108172740915
hierarchical,engagement_sign_accuracy,16,0.5882352941176471
hierarchical,engagement_sign_count,16,17
hierarchical,target_mae,16,14.605689142354661
hierarchical,target_rmse,16,17.711771895312285
hierarchical,target_ranking_accuracy,16,0.83
hierarchical,target_ranking_count,16,100
hierarchical,target_top_accuracy,16,0.75
hierarchical,target_top_count,16,24
hierarchical,scenario_heterogeneity_pressure_engagement_accuracy,16,0.6
hierarchical,scenario_heterogeneity_pressure_engagement_count,16,5
hierarchical,scenario_heterogeneity_pressure_target_accuracy,16,0.7142857142857143
hierarchical,scenario_heterogeneity_pressure_target_count,16,28
hierarchical,scenario_medium_engagement_accuracy,16,0.6
hierarchical,scenario_medium_engagement_count,16,5
hierarchical,scenario_medium_target_accuracy,16,0.9
hierarchical,scenario_medium_target_count,16,30
hierarchical,scenario_time_pressure_engagement_accuracy,16,0.5714285714285714
hierarchical,scenario_time_pressure_engagement_count,16,7
hierarchical,scenario_time_pressure_target_accuracy,16,0.8571428571428571
hierarchical,scenario_time_pressure_target_count,16,42
