scope,metric,projected_rollouts,high_confidence_count
all,overall_pair,32,160
all,target_pair,32,100
all,top_action,32,17
all,engagement_sign,32,17
all,target_top,32,24
medium,pair,32,45
medium,engagement_sign,32,5
medium,target_pair,32,30
medium,target_top,32,7
time_pressure,pair,32,70
time_pressure,engagement_sign,32,7
time_pressure,target_pair,32,42
time_pressure,target_top,32,11
heterogeneity_pressure,pair,32,45
heterogeneity_pressure,engagement_sign,32,5
heterogeneity_pressure,target_pair,32,28
heterogeneity_pressure,target_top,32,6
all,overall_pair,64,285
all,target_pair,64,173
all,top_action,64,40
all,engagement_sign,64,37
all,target_top,64,44
medium,pair,64,91
medium,engagement_sign,64,12
medium,target_pair,64,59
medium,target_top,64,18
time_pressure,pair,64,115
time_pressure,engagement_sign,64,13
time_pressure,target_pair,64,69
time_pressure,target_top,64,17
heterogeneity_pressure,pair,64,79
heterogeneity_pressure,engagement_sign,64,12
heterogeneity_pressure,target_pair,64,45
heterogeneity_pressure,target_top,64,9
all,overall_pair,128,426
all,target_pair,128,257
all,top_action,128,58
all,engagement_sign,128,58
all,target_top,128,70
medium,pair,128,134
medium,engagement_sign,128,19
medium,target_pair,128,81
medium,target_top,128,24
time_pressure,pair,128,171
time_pressure,engagement_sign,128,19
time_pressure,target_pair,128,106
time_pressure,target_top,128,25
heterogeneity_pressure,pair,128,121
heterogeneity_pressure,engagement_sign,128,20
heterogeneity_pressure,target_pair,128,70
heterogeneity_pressure,target_top,128,21
all,overall_pair,256,500
all,target_pair,256,281
all,top_action,256,79
all,engagement_sign,256,77
all,target_top,256,81
medium,pair,256,154
medium,engagement_sign,256,23
medium,target_pair,256,86
medium,target_top,256,26
time_pressure,pair,256,210
time_pressure,engagement_sign,256,27
time_pressure,target_pair,256,122
time_pressure,target_top,256,33
heterogeneity_pressure,pair,256,136
heterogeneity_pressure,engagement_sign,256,27
heterogeneity_pressure,target_pair,256,73
heterogeneity_pressure,target_top,256,22
