method,metric,train_seed,value
monolithic_difference_aware,engagement_mae,14,15.589756209116716
monolithic_difference_aware,engagement_rmse,14,21.22951971509106
monolithic_difference_aware,engagement_sign_accuracy,14,0.8
monolithic_difference_aware,engagement_sign_count,14,5
monolithic_difference_aware,target_mae,14,18.04115679528978
monolithic_difference_aware,target_rmse,14,25.657593822480237
monolithic_difference_aware,target_ranking_accuracy,14,0.23809523809523808
monolithic_difference_aware,target_ranking_count,14,63
monolithic_difference_aware,target_top_accuracy,14,0.5263157894736842
monolithic_difference_aware,target_top_count,14,19
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_accuracy,14,nan
monolithic_difference_aware,scenario_heterogeneity_pressure_engagement_count,14,0
monolithic_difference_aware,scenario_heterogeneity_pressure_target_accuracy,14,0.17647058823529413
monolithic_difference_aware,scenario_heterogeneity_pressure_target_count,14,17
monolithic_difference_aware,scenario_medium_engagement_accuracy,14,0.75
monolithic_difference_aware,scenario_medium_engagement_count,14,4
monolithic_difference_aware,scenario_medium_target_accuracy,14,0.55
monolithic_difference_aware,scenario_medium_target_count,14,20
monolithic_difference_aware,scenario_time_pressure_engagement_accuracy,14,1.0
monolithic_difference_aware,scenario_time_pressure_engagement_count,14,1
monolithic_difference_aware,scenario_time_pressure_target_accuracy,14,0.038461538461538464
monolithic_difference_aware,scenario_time_pressure_target_count,14,26
hierarchical,engagement_mae,14,15.01235678104254
hierarchical,engagement_rmse,14,20.810628938993148
hierarchical,engagement_sign_accuracy,14,0.8
hierarchical,engagement_sign_count,14,5
hierarchical,target_mae,14,18.17324978586227
hierarchical,target_rmse,14,25.180775694630324
hierarchical,target_ranking_accuracy,14,0.30158730158730157
hierarchical,target_ranking_count,14,63
hierarchical,target_top_accuracy,14,0.42105263157894735
hierarchical,target_top_count,14,19
hierarchical,scenario_heterogeneity_pressure_engagement_accuracy,14,nan
hierarchical,scenario_heterogeneity_pressure_engagement_count,14,0
hierarchical,scenario_heterogeneity_pressure_target_accuracy,14,0.29411764705882354
hierarchical,scenario_heterogeneity_pressure_target_count,14,17
hierarchical,scenario_medium_engagement_accuracy,14,0.75
hierarchical,scenario_medium_engagement_count,14,4
hierarchical,scenario_medium_target_accuracy,14,0.55
hierarchical,scenario_medium_target_count,14,20
hierarchical,scenario_time_pressure_engagement_accuracy,14,1.0
hierarchical,scenario_time_pressure_engagement_count,14,1
hierarchical,scenario_time_pressure_target_accuracy,14,0.11538461538461539
hierarchical,scenario_time_pressure_target_count,14,26
