objective,model_seed,threshold,count,engage_count,noop_count,accuracy,balanced_accuracy,engage_recall,noop_recall,false_noop_rate,wasteful_engage_rate,worst_batch_engage_recall,worst_batch_noop_recall,worst_scenario_engage_recall,worst_scenario_noop_recall,safety_sign_accuracy,engage_margin,noop_margin,balanced_accuracy_margin,safety_sign_margin,minimum_constraint_margin,predicted_engage_count,passed_check_count,feasible,pareto_frontier,check_balanced_accuracy,check_engage_recall,check_noop_recall,check_batch_engage_recall,check_batch_noop_recall,check_scenario_engage_recall,check_scenario_noop_recall,check_safety_sign_accuracy
standard,20,-2.594940175543308,183,68,115,0.37158469945355194,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.7071823204419889,0.4,-0.65,-0.19999999999999996,0.007182320441988965,-0.65,183,4,False,False,False,True,False,True,False,True,False,True
standard,20,-2.508598804473877,183,68,115,0.3770491803278688,0.5043478260869565,1.0,0.008695652173913044,0.0,0.991304347826087,1.0,0.0,1.0,0.0,0.7071823204419889,0.4,-0.65,-0.19565217391304346,0.007182320441988965,-0.65,182,4,False,False,False,True,False,True,False,True,False,True
standard,20,-2.3850656747817993,183,68,115,0.3825136612021858,0.508695652173913,1.0,0.017391304347826087,0.0,0.9826086956521739,1.0,0.0,1.0,0.0,0.7071823204419889,0.4,-0.65,-0.19130434782608696,0.007182320441988965,-0.65,181,4,False,False,False,True,False,True,False,True,False,True
standard,20,-2.261491894721985,183,68,115,0.3879781420765027,0.5130434782608696,1.0,0.02608695652173913,0.0,0.9739130434782609,1.0,0.0,1.0,0.0,0.7071823204419889,0.4,-0.65,-0.18695652173913035,0.007182320441988965,-0.65,180,4,False,False,False,True,False,True,False,True,False,True
standard,20,-2.1379584074020386,183,68,115,0.39344262295081966,0.5173913043478261,1.0,0.034782608695652174,0.0,0.9652173913043478,1.0,0.0,1.0,0.018518518518518517,0.7071823204419889,0.4,-0.65,-0.18260869565217386,0.007182320441988965,-0.65,179,4,False,False,False,True,False,True,False,True,False,True
standard,20,-2.030078887939453,183,68,115,0.3989071038251366,0.5217391304347826,1.0,0.043478260869565216,0.0,0.9565217391304348,1.0,0.0,1.0,0.018518518518518517,0.7071823204419889,0.4,-0.65,-0.17826086956521736,0.007182320441988965,-0.65,178,4,False,False,False,True,False,True,False,True,False,True
standard,20,-1.9139932990074158,183,68,115,0.40437158469945356,0.5260869565217391,1.0,0.05217391304347826,0.0,0.9478260869565217,1.0,0.0,1.0,0.03125,0.7071823204419889,0.4,-0.65,-0.17391304347826086,0.007182320441988965,-0.65,177,4,False,False,False,True,False,True,False,True,False,True
standard,20,-1.8515368103981018,183,68,115,0.4098360655737705,0.5304347826086957,1.0,0.06086956521739131,0.0,0.9391304347826087,1.0,0.0,1.0,0.03125,0.7071823204419889,0.4,-0.65,-0.16956521739130426,0.007182320441988965,-0.65,176,4,False,False,False,True,False,True,False,True,False,True
standard,20,-1.8201439380645752,183,68,115,0.41530054644808745,0.5347826086956522,1.0,0.06956521739130435,0.0,0.9304347826086956,1.0,0.0,1.0,0.03125,0.7071823204419889,0.4,-0.65,-0.16521739130434776,0.007182320441988965,-0.65,175,4,False,False,False,True,False,True,False,True,False,True
standard,20,-1.7961538434028625,183,68,115,0.4207650273224044,0.5391304347826087,1.0,0.0782608695652174,0.0,0.9217391304347826,1.0,0.0,1.0,0.0625,0.7071823204419889,0.4,-0.65,-0.16086956521739126,0.007182320441988965,-0.65,174,4,False,True,False,True,False,True,False,True,False,True
