metric,scope,train_seed,value,variant
q_mae,overall,14,10.625979106230982,full
q_rmse,overall,14,14.30124297569336,full
v_mae,overall,14,17.746656290159144,full
one_step_mae,overall,14,24.616599489436968,full
mae_improvement_vs_v,overall,14,0.4012404966605857,full
ranking_accuracy,overall,14,0.25,full
ranking_count,overall,14,8,full
target_ranking_accuracy,overall,14,0.2,full
target_ranking_count,overall,14,5,full
top_action_accuracy,overall,14,0.0,full
top_action_count,overall,14,1,full
engagement_sign_accuracy,overall,14,0.5,full
engagement_sign_count,overall,14,2,full
ranking_accuracy,heterogeneity_pressure,14,0.25,full
ranking_count,heterogeneity_pressure,14,4,full
ranking_accuracy,medium,14,0.3333333333333333,full
ranking_count,medium,14,3,full
ranking_accuracy,time_pressure,14,0.0,full
ranking_count,time_pressure,14,1,full
q_mae,overall,15,10.887430186158625,full
q_rmse,overall,15,14.891844953855271,full
v_mae,overall,15,17.746656290159144,full
one_step_mae,overall,15,24.616599489436968,full
mae_improvement_vs_v,overall,15,0.38650808309191687,full
ranking_accuracy,overall,15,0.25,full
ranking_count,overall,15,8,full
target_ranking_accuracy,overall,15,0.2,full
target_ranking_count,overall,15,5,full
top_action_accuracy,overall,15,0.0,full
top_action_count,overall,15,1,full
engagement_sign_accuracy,overall,15,0.5,full
engagement_sign_count,overall,15,2,full
ranking_accuracy,heterogeneity_pressure,15,0.25,full
ranking_count,heterogeneity_pressure,15,4,full
ranking_accuracy,medium,15,0.3333333333333333,full
ranking_count,medium,15,3,full
ranking_accuracy,time_pressure,15,0.0,full
ranking_count,time_pressure,15,1,full
q_mae,overall,16,11.294546414295148,full
q_rmse,overall,16,15.462401629578949,full
v_mae,overall,16,17.746656290159144,full
one_step_mae,overall,16,24.616599489436968,full
mae_improvement_vs_v,overall,16,0.3635676360871323,full
ranking_accuracy,overall,16,0.375,full
ranking_count,overall,16,8,full
target_ranking_accuracy,overall,16,0.4,full
target_ranking_count,overall,16,5,full
top_action_accuracy,overall,16,0.0,full
top_action_count,overall,16,1,full
engagement_sign_accuracy,overall,16,0.5,full
engagement_sign_count,overall,16,2,full
ranking_accuracy,heterogeneity_pressure,16,0.25,full
ranking_count,heterogeneity_pressure,16,4,full
ranking_accuracy,medium,16,0.6666666666666666,full
ranking_count,medium,16,3,full
ranking_accuracy,time_pressure,16,0.0,full
ranking_count,time_pressure,16,1,full
q_mae,overall,14,10.104209055674486,no_prefix
q_rmse,overall,14,13.958864938344655,no_prefix
v_mae,overall,14,17.746656290159144,no_prefix
one_step_mae,overall,14,24.616599489436968,no_prefix
mae_improvement_vs_v,overall,14,0.4306415309751922,no_prefix
ranking_accuracy,overall,14,0.625,no_prefix
ranking_count,overall,14,8,no_prefix
target_ranking_accuracy,overall,14,0.6,no_prefix
target_ranking_count,overall,14,5,no_prefix
top_action_accuracy,overall,14,0.0,no_prefix
top_action_count,overall,14,1,no_prefix
engagement_sign_accuracy,overall,14,0.5,no_prefix
engagement_sign_count,overall,14,2,no_prefix
ranking_accuracy,heterogeneity_pressure,14,0.5,no_prefix
ranking_count,heterogeneity_pressure,14,4,no_prefix
ranking_accuracy,medium,14,0.6666666666666666,no_prefix
ranking_count,medium,14,3,no_prefix
ranking_accuracy,time_pressure,14,1.0,no_prefix
ranking_count,time_pressure,14,1,no_prefix
q_mae,overall,15,13.112962891058675,no_prefix
q_rmse,overall,15,16.86482601024865,no_prefix
v_mae,overall,15,17.746656290159144,no_prefix
one_step_mae,overall,15,24.616599489436968,no_prefix
mae_improvement_vs_v,overall,15,0.2611023351858085,no_prefix
ranking_accuracy,overall,15,0.0,no_prefix
ranking_count,overall,15,8,no_prefix
target_ranking_accuracy,overall,15,0.0,no_prefix
target_ranking_count,overall,15,5,no_prefix
top_action_accuracy,overall,15,0.0,no_prefix
top_action_count,overall,15,1,no_prefix
engagement_sign_accuracy,overall,15,0.0,no_prefix
engagement_sign_count,overall,15,2,no_prefix
ranking_accuracy,heterogeneity_pressure,15,0.0,no_prefix
ranking_count,heterogeneity_pressure,15,4,no_prefix
ranking_accuracy,medium,15,0.0,no_prefix
ranking_count,medium,15,3,no_prefix
ranking_accuracy,time_pressure,15,0.0,no_prefix
ranking_count,time_pressure,15,1,no_prefix
q_mae,overall,16,10.814517065625767,no_prefix
q_rmse,overall,16,14.673164205335759,no_prefix
v_mae,overall,16,17.746656290159144,no_prefix
one_step_mae,overall,16,24.616599489436968,no_prefix
mae_improvement_vs_v,overall,16,0.39061663849191575,no_prefix
