best_epoch,best_validation_mae,inference_seconds,parameter_count,q_mean,q_std,train_seed,variant
8,13.38753604888916,0.0014111000000411877,83457,-22.978137969970703,16.498519897460938,14,full
12,13.255353927612305,0.0017956000001504435,83457,-22.978137969970703,16.498519897460938,15,full
12,13.35825252532959,0.0008488000003126217,83457,-22.978137969970703,16.498519897460938,16,full
23,13.17719554901123,0.0009973000001082255,82177,-22.978137969970703,16.498519897460938,14,no_prefix
0,14.019030570983887,0.0016488000001118053,82177,-22.978137969970703,16.498519897460938,15,no_prefix
12,13.643115043640137,0.0009495999997852778,82177,-22.978137969970703,16.498519897460938,16,no_prefix
8,12.959480285644531,0.0009479999998802668,81921,-22.978137969970703,16.498519897460938,14,no_mask
12,13.374860763549805,0.0009400999997524195,81921,-22.978137969970703,16.498519897460938,15,no_mask
11,13.088846206665039,0.0014123000000836328,81921,-22.978137969970703,16.498519897460938,16,no_mask
8,12.942730903625488,0.000811500000054366,71937,-22.978137969970703,16.498519897460938,14,observation_action_only
12,13.333507537841797,0.0007647000002179993,71937,-22.978137969970703,16.498519897460938,15,observation_action_only
13,12.991435050964355,0.0008014999998522399,71937,-22.978137969970703,16.498519897460938,16,observation_action_only
