metric,scope,train_seed,value,variant
q_mae,overall,14,13.074696585671822,absolute_mse
q_rmse,overall,14,16.43032834015496,absolute_mse
v_mae,overall,14,15.97503212581311,absolute_mse
one_step_mae,overall,14,21.984207142336043,absolute_mse
mae_improvement_vs_v,overall,14,0.18155428529341155,absolute_mse
ranking_accuracy,overall,14,0.5681818181818182,absolute_mse
ranking_count,overall,14,44,absolute_mse
target_ranking_accuracy,overall,14,0.5217391304347826,absolute_mse
target_ranking_count,overall,14,23,absolute_mse
top_action_accuracy,overall,14,0.4,absolute_mse
top_action_count,overall,14,10,absolute_mse
engagement_sign_accuracy,overall,14,0.5454545454545454,absolute_mse
engagement_sign_count,overall,14,11,absolute_mse
ranking_accuracy,heterogeneity_pressure,14,0.5714285714285714,absolute_mse
ranking_count,heterogeneity_pressure,14,7,absolute_mse
ranking_accuracy,medium,14,0.6666666666666666,absolute_mse
ranking_count,medium,14,9,absolute_mse
ranking_accuracy,time_pressure,14,0.5357142857142857,absolute_mse
ranking_count,time_pressure,14,28,absolute_mse
q_mae,overall,15,14.094115696362374,absolute_mse
q_rmse,overall,15,17.63286928315939,absolute_mse
v_mae,overall,15,15.97503212581311,absolute_mse
one_step_mae,overall,15,21.984207142336043,absolute_mse
mae_improvement_vs_v,overall,15,0.11774101076213006,absolute_mse
ranking_accuracy,overall,15,0.5,absolute_mse
ranking_count,overall,15,44,absolute_mse
target_ranking_accuracy,overall,15,0.43478260869565216,absolute_mse
target_ranking_count,overall,15,23,absolute_mse
top_action_accuracy,overall,15,0.5,absolute_mse
top_action_count,overall,15,10,absolute_mse
engagement_sign_accuracy,overall,15,0.6363636363636364,absolute_mse
engagement_sign_count,overall,15,11,absolute_mse
ranking_accuracy,heterogeneity_pressure,15,0.7142857142857143,absolute_mse
ranking_count,heterogeneity_pressure,15,7,absolute_mse
ranking_accuracy,medium,15,0.7777777777777778,absolute_mse
ranking_count,medium,15,9,absolute_mse
ranking_accuracy,time_pressure,15,0.35714285714285715,absolute_mse
ranking_count,time_pressure,15,28,absolute_mse
q_mae,overall,16,13.023622736897474,absolute_mse
q_rmse,overall,16,16.67799838321696,absolute_mse
v_mae,overall,16,15.97503212581311,absolute_mse
one_step_mae,overall,16,21.984207142336043,absolute_mse
mae_improvement_vs_v,overall,16,0.18475138989840456,absolute_mse
ranking_accuracy,overall,16,0.5227272727272727,absolute_mse
ranking_count,overall,16,44,absolute_mse
target_ranking_accuracy,overall,16,0.4782608695652174,absolute_mse
target_ranking_count,overall,16,23,absolute_mse
top_action_accuracy,overall,16,0.5,absolute_mse
top_action_count,overall,16,10,absolute_mse
engagement_sign_accuracy,overall,16,0.5454545454545454,absolute_mse
engagement_sign_count,overall,16,11,absolute_mse
ranking_accuracy,heterogeneity_pressure,16,0.5714285714285714,absolute_mse
ranking_count,heterogeneity_pressure,16,7,absolute_mse
ranking_accuracy,medium,16,0.7777777777777778,absolute_mse
ranking_count,medium,16,9,absolute_mse
ranking_accuracy,time_pressure,16,0.42857142857142855,absolute_mse
ranking_count,time_pressure,16,28,absolute_mse
q_mae,overall,14,13.125645443156827,difference_aware
q_rmse,overall,14,16.560157160016978,difference_aware
v_mae,overall,14,15.97503212581311,difference_aware
one_step_mae,overall,14,21.984207142336043,difference_aware
mae_improvement_vs_v,overall,14,0.17836500485355067,difference_aware
ranking_accuracy,overall,14,0.6590909090909091,difference_aware
ranking_count,overall,14,44,difference_aware
target_ranking_accuracy,overall,14,0.6956521739130435,difference_aware
target_ranking_count,overall,14,23,difference_aware
top_action_accuracy,overall,14,0.6,difference_aware
top_action_count,overall,14,10,difference_aware
engagement_sign_accuracy,overall,14,0.5454545454545454,difference_aware
engagement_sign_count,overall,14,11,difference_aware
ranking_accuracy,heterogeneity_pressure,14,0.8571428571428571,difference_aware
ranking_count,heterogeneity_pressure,14,7,difference_aware
ranking_accuracy,medium,14,0.6666666666666666,difference_aware
ranking_count,medium,14,9,difference_aware
ranking_accuracy,time_pressure,14,0.6071428571428571,difference_aware
ranking_count,time_pressure,14,28,difference_aware
q_mae,overall,15,13.924033623945434,difference_aware
q_rmse,overall,15,17.447670528903306,difference_aware
v_mae,overall,15,15.97503212581311,difference_aware
one_step_mae,overall,15,21.984207142336043,difference_aware
mae_improvement_vs_v,overall,15,0.1283877544479919,difference_aware
ranking_accuracy,overall,15,0.7272727272727273,difference_aware
ranking_count,overall,15,44,difference_aware
target_ranking_accuracy,overall,15,0.8260869565217391,difference_aware
target_ranking_count,overall,15,23,difference_aware
top_action_accuracy,overall,15,0.6,difference_aware
top_action_count,overall,15,10,difference_aware
engagement_sign_accuracy,overall,15,0.5454545454545454,difference_aware
engagement_sign_count,overall,15,11,difference_aware
ranking_accuracy,heterogeneity_pressure,15,0.8571428571428571,difference_aware
ranking_count,heterogeneity_pressure,15,7,difference_aware
ranking_accuracy,medium,15,0.6666666666666666,difference_aware
ranking_count,medium,15,9,difference_aware
ranking_accuracy,time_pressure,15,0.7142857142857143,difference_aware
ranking_count,time_pressure,15,28,difference_aware
q_mae,overall,16,12.865126511023846,difference_aware
q_rmse,overall,16,16.53644699830026,difference_aware
v_mae,overall,16,15.97503212581311,difference_aware
one_step_mae,overall,16,21.984207142336043,difference_aware
