scope,metric,projected_rollouts,high_confidence_count
all,overall_pair,32,44
all,target_pair,32,23
all,top_action,32,10
all,engagement_sign,32,11
medium,pair,32,9
time_pressure,pair,32,28
heterogeneity_pressure,pair,32,7
all,overall_pair,64,72
all,target_pair,64,40
all,top_action,64,14
all,engagement_sign,64,17
medium,pair,64,24
time_pressure,pair,64,36
heterogeneity_pressure,pair,64,12
all,overall_pair,128,98
all,target_pair,128,51
all,top_action,128,20
all,engagement_sign,128,26
medium,pair,128,36
time_pressure,pair,128,42
heterogeneity_pressure,pair,128,20
all,overall_pair,256,116
all,target_pair,256,59
all,top_action,256,23
all,engagement_sign,256,30
medium,pair,256,44
time_pressure,pair,256,50
heterogeneity_pressure,pair,256,22
