metric,scope,train_seed,value,variant
q_mae,overall,14,12.785787650924176,absolute_mse
q_rmse,overall,14,16.006593522622634,absolute_mse
v_mae,overall,14,15.822840573173016,absolute_mse
one_step_mae,overall,14,25.157685256730765,absolute_mse
mae_improvement_vs_v,overall,14,0.19194106824270474,absolute_mse
ranking_accuracy,overall,14,0.38636363636363635,absolute_mse
ranking_count,overall,14,88,absolute_mse
target_ranking_accuracy,overall,14,0.2619047619047619,absolute_mse
target_ranking_count,overall,14,42,absolute_mse
top_action_accuracy,overall,14,0.36363636363636365,absolute_mse
top_action_count,overall,14,22,absolute_mse
engagement_sign_accuracy,overall,14,0.5,absolute_mse
engagement_sign_count,overall,14,22,absolute_mse
ranking_accuracy,heterogeneity_pressure,14,0.3,absolute_mse
ranking_count,heterogeneity_pressure,14,20,absolute_mse
ranking_accuracy,medium,14,0.4782608695652174,absolute_mse
ranking_count,medium,14,23,absolute_mse
ranking_accuracy,time_pressure,14,0.37777777777777777,absolute_mse
ranking_count,time_pressure,14,45,absolute_mse
q_mae,overall,15,13.19540617166087,absolute_mse
q_rmse,overall,15,16.31487537344692,absolute_mse
v_mae,overall,15,15.822840573173016,absolute_mse
one_step_mae,overall,15,25.157685256730765,absolute_mse
mae_improvement_vs_v,overall,15,0.16605326896656303,absolute_mse
ranking_accuracy,overall,15,0.375,absolute_mse
ranking_count,overall,15,88,absolute_mse
target_ranking_accuracy,overall,15,0.2619047619047619,absolute_mse
target_ranking_count,overall,15,42,absolute_mse
top_action_accuracy,overall,15,0.45454545454545453,absolute_mse
top_action_count,overall,15,22,absolute_mse
engagement_sign_accuracy,overall,15,0.5,absolute_mse
engagement_sign_count,overall,15,22,absolute_mse
ranking_accuracy,heterogeneity_pressure,15,0.45,absolute_mse
ranking_count,heterogeneity_pressure,15,20,absolute_mse
ranking_accuracy,medium,15,0.4782608695652174,absolute_mse
ranking_count,medium,15,23,absolute_mse
ranking_accuracy,time_pressure,15,0.28888888888888886,absolute_mse
ranking_count,time_pressure,15,45,absolute_mse
q_mae,overall,16,12.558453449588269,absolute_mse
q_rmse,overall,16,16.08845135280867,absolute_mse
v_mae,overall,16,15.822840573173016,absolute_mse
one_step_mae,overall,16,25.157685256730765,absolute_mse
mae_improvement_vs_v,overall,16,0.20630853913294067,absolute_mse
ranking_accuracy,overall,16,0.3522727272727273,absolute_mse
ranking_count,overall,16,88,absolute_mse
target_ranking_accuracy,overall,16,0.21428571428571427,absolute_mse
target_ranking_count,overall,16,42,absolute_mse
top_action_accuracy,overall,16,0.36363636363636365,absolute_mse
top_action_count,overall,16,22,absolute_mse
engagement_sign_accuracy,overall,16,0.45454545454545453,absolute_mse
engagement_sign_count,overall,16,22,absolute_mse
ranking_accuracy,heterogeneity_pressure,16,0.3,absolute_mse
ranking_count,heterogeneity_pressure,16,20,absolute_mse
ranking_accuracy,medium,16,0.4782608695652174,absolute_mse
ranking_count,medium,16,23,absolute_mse
ranking_accuracy,time_pressure,16,0.3111111111111111,absolute_mse
ranking_count,time_pressure,16,45,absolute_mse
q_mae,overall,14,13.234558803420514,difference_aware
q_rmse,overall,14,16.098591464442237,difference_aware
v_mae,overall,14,15.822840573173016,difference_aware
one_step_mae,overall,14,25.157685256730765,difference_aware
mae_improvement_vs_v,overall,14,0.16357883135982731,difference_aware
