candidate_action,candidate_type,conditional_target_probability,frozen_v,mc_q_mean,mc_q_se,mc_q_std,one_step_reward_mean,paired_delta_vs_noop_mean,paired_delta_vs_noop_se,policy_probability,rollouts,sample_id,scenario,source_seed,split,state_id,unit_index
5,noop,0.0,-20.435497283935547,-26.210618551798138,0.009984206894682981,0.014119800799999638,-0.1,0.0,0.0,1.0,2,seed8/medium/episode1/step30/unit0/action5,medium,8,validation,seed8/medium/episode1/step30,0
5,noop,0.0,-20.435497283935547,-26.224836352598135,0.006860349991072425,0.009702000000000766,-0.1,0.0,0.0,1.0,2,seed8/medium/episode1/step30/unit1/action5,medium,8,validation,seed8/medium/episode1/step30,1
2,target,0.3923121945055112,-20.435497283935547,-26.244538352598134,0.0,0.0,-0.6,-0.019701999999998776,0.006860349991072425,0.11713074892759323,2,seed8/medium/episode1/step30/unit2/action2,medium,8,validation,seed8/medium/episode1/step30,2
3,target,0.6076878304491113,-20.435497283935547,-26.244538352598134,0.0,0.0,-0.6,-0.019701999999998776,0.006860349991072425,0.18143440783023834,2,seed8/medium/episode1/step30/unit2/action3,medium,8,validation,seed8/medium/episode1/step30,2
5,noop,0.0,-20.435497283935547,-26.224836352598135,0.006860349991072425,0.009702000000000766,-0.1,0.0,0.0,0.701434850692749,2,seed8/medium/episode1/step30/unit2/action5,medium,8,validation,seed8/medium/episode1/step30,2
5,noop,0.0,-35.672584533691406,-15.572558887705705,3.1069836317567585,4.3939383901016225,1.416649375699094,0.0,0.0,1.0,2,seed8/medium/episode1/step19/unit0/action5,medium,8,train,seed8/medium/episode1/step19,0
5,noop,0.0,-35.672584533691406,-41.599760038287684,5.735162506840315,8.110744599587253,-0.1,0.0,0.0,1.0,2,seed8/medium/episode1/step19/unit1/action5,medium,8,train,seed8/medium/episode1/step19,1
0,target,0.23980463932709495,-35.672584533691406,-27.613397000846827,15.795810056636629,22.338648810764848,-0.6,-8.0979911594121,1.6994061881106572,0.0666964128613472,2,seed8/medium/episode1/step19/unit2/action0,medium,8,train,seed8/medium/episode1/step19,2
1,target,0.31272036728693736,-35.672584533691406,-27.613397000846827,15.795810056636629,22.338648810764848,-0.6,-8.0979911594121,1.6994061881106572,0.08697632700204849,2,seed8/medium/episode1/step19/unit2/action1,medium,8,train,seed8/medium/episode1/step19,2
2,target,0.17425403413108545,-35.672584533691406,-27.613397000846827,15.795810056636629,22.338648810764848,-0.6,-8.0979911594121,1.6994061881106572,0.04846494644880295,2,seed8/medium/episode1/step19/unit2/action2,medium,8,train,seed8/medium/episode1/step19,2
3,target,0.27322101283149053,-35.672584533691406,-27.613397000846827,15.795810056636629,22.338648810764848,-0.6,-8.0979911594121,1.6994061881106572,0.07599044591188431,2,seed8/medium/episode1/step19/unit2/action3,medium,8,train,seed8/medium/episode1/step19,2
5,noop,0.0,-35.672584533691406,-19.515405841434728,14.096403868525972,19.935325531557993,-0.1,0.0,0.0,0.7218718528747559,2,seed8/medium/episode1/step19/unit2/action5,medium,8,train,seed8/medium/episode1/step19,2
5,noop,0.0,-24.846263885498047,-17.905902117318522,13.211616703864307,18.68404752347983,-0.1,0.0,0.0,1.0,2,seed8/medium/episode2/step0/unit0/action5,medium,8,test,seed8/medium/episode2/step0,0
1,target,1.0,-24.846263885498047,-34.26194199786882,0.40614948633826964,0.5743821119304471,-2.1,-2.815110479323895,1.3960024036046923,0.2485458105802536,2,seed8/medium/episode2/step0/unit1/action1,medium,8,test,seed8/medium/episode2/step0,1
5,noop,0.0,-24.846263885498047,-31.446831518544922,0.9898529172664225,1.399863420352748,-0.1,0.0,0.0,0.7514541745185852,2,seed8/medium/episode2/step0/unit1/action5,medium,8,test,seed8/medium/episode2/step0,1
5,noop,0.0,-24.846263885498047,-24.45507189240572,4.086667411900919,5.779420478818436,-0.1,0.0,0.0,1.0,2,seed8/medium/episode2/step0/unit2/action5,medium,8,test,seed8/medium/episode2/step0,2
