metric,scope,train_seed,value,variant
q_mae,overall,14,4.882779121398926,full
q_rmse,overall,14,5.432821715360403,full
v_mae,overall,14,5.836949825286865,full
one_step_mae,overall,14,26.4174374807626,full
mae_improvement_vs_v,overall,14,0.16347077368290475,full
ranking_accuracy,overall,14,1.0,full
ranking_count,overall,14,1,full
target_ranking_accuracy,overall,14,nan,full
target_ranking_count,overall,14,0,full
top_action_accuracy,overall,14,1.0,full
top_action_count,overall,14,1,full
engagement_sign_accuracy,overall,14,1.0,full
engagement_sign_count,overall,14,1,full
ranking_accuracy,medium,14,1.0,full
ranking_count,medium,14,1,full
q_mae,overall,14,5.582395553588867,no_prefix
q_rmse,overall,14,6.12524756726229,no_prefix
v_mae,overall,14,5.836949825286865,no_prefix
one_step_mae,overall,14,26.4174374807626,no_prefix
mae_improvement_vs_v,overall,14,0.043610837735013064,no_prefix
ranking_accuracy,overall,14,1.0,no_prefix
ranking_count,overall,14,1,no_prefix
target_ranking_accuracy,overall,14,nan,no_prefix
target_ranking_count,overall,14,0,no_prefix
top_action_accuracy,overall,14,1.0,no_prefix
top_action_count,overall,14,1,no_prefix
engagement_sign_accuracy,overall,14,1.0,no_prefix
engagement_sign_count,overall,14,1,no_prefix
ranking_accuracy,medium,14,1.0,no_prefix
ranking_count,medium,14,1,no_prefix
q_mae,overall,14,4.966248989105225,no_mask
q_rmse,overall,14,5.700085701943522,no_mask
v_mae,overall,14,5.836949825286865,no_mask
one_step_mae,overall,14,26.4174374807626,no_mask
mae_improvement_vs_v,overall,14,0.14917051923413593,no_mask
ranking_accuracy,overall,14,1.0,no_mask
ranking_count,overall,14,1,no_mask
target_ranking_accuracy,overall,14,nan,no_mask
target_ranking_count,overall,14,0,no_mask
top_action_accuracy,overall,14,1.0,no_mask
top_action_count,overall,14,1,no_mask
engagement_sign_accuracy,overall,14,1.0,no_mask
engagement_sign_count,overall,14,1,no_mask
ranking_accuracy,medium,14,1.0,no_mask
ranking_count,medium,14,1,no_mask
q_mae,overall,14,5.2085065841674805,observation_action_only
q_rmse,overall,14,5.767987029452915,observation_action_only
v_mae,overall,14,5.836949825286865,observation_action_only
one_step_mae,overall,14,26.4174374807626,observation_action_only
mae_improvement_vs_v,overall,14,0.10766637711991967,observation_action_only
ranking_accuracy,overall,14,1.0,observation_action_only
ranking_count,overall,14,1,observation_action_only
target_ranking_accuracy,overall,14,nan,observation_action_only
target_ranking_count,overall,14,0,observation_action_only
top_action_accuracy,overall,14,1.0,observation_action_only
top_action_count,overall,14,1,observation_action_only
engagement_sign_accuracy,overall,14,1.0,observation_action_only
engagement_sign_count,overall,14,1,observation_action_only
ranking_accuracy,medium,14,1.0,observation_action_only
ranking_count,medium,14,1,observation_action_only
