method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
greedy_damage,rule,easy,easy,0,,200,0,200,-49.35826076687204,50,5,1,1,0.8948437684989364,20,20,1,0,False,0.001167500016890699,0.02335000033781398,0.8,0,0,0.0,0.8948437684989364,20,0,0.0,0,0.0,0.37528018835496396,0.0187640094177482,22.0
greedy_damage,rule,easy,easy,0,,200,1,201,-10.139829655076845,50,5,4,0,0.0,20,20,4,0,False,0.0013672999939444708,0.027345999878889415,0.8,0,0,0.0,0.0,20,0,0.0,0,0.0,1.6465695173114274,0.08232847586557138,22.0
greedy_damage,rule,easy,hard,0,,202,0,202,-107.38878670703043,20,5,2,2,2.64042244407843,11,11,2,0,False,0.00046639999163744505,0.023319999581872253,0.8,4,2,0.5,2.64042244407843,11,0,0.0,0,0.0,1.6536072293881485,0.15032792994437713,11.5
greedy_damage,rule,easy,hard,0,,202,1,203,-152.7284284585944,27,5,0,4,3.784280948619814,11,11,0,0,False,0.000645500000246102,0.023907407416522294,0.8,3,2,0.6666666666666666,3.7842809486198146,11,0,0.0,0,0.0,0.0,0.0,11.5
maskable_ppo,learning,easy,easy,0,0,200,0,200,-59.83913076831935,50,5,1,2,1.2701239568539004,20,20,1,0,False,0.04777979999744275,0.955595999948855,0.8,0,0,0.0,1.2701239568539004,20,0,0.0,0,0.0,0.5829312469644515,0.029146562348222577,22.0
maskable_ppo,learning,easy,easy,0,0,200,1,201,-31.426045530025284,50,5,3,1,0.4476521999906686,20,20,5,0,False,0.06032779999259219,1.2065559998518438,0.8,0,0,0.0,0.4476521999906686,17,3,0.17647058823529413,3,0.15,1.1989173173207588,0.05994586586603794,22.0
maskable_ppo,learning,easy,hard,0,0,202,0,202,-121.55899628452981,30,5,2,3,3.1783532221653505,11,11,2,0,False,0.031843800006754464,1.0614600002251489,0.8,4,2,0.5,3.1783532221653505,11,0,0.0,0,0.0,2.1787219093544925,0.1980656281231357,11.5
maskable_ppo,learning,easy,hard,0,0,202,1,203,-155.55523125654707,27,5,0,4,3.784280948619814,11,11,0,0,False,0.025588800002878997,0.9477333334399629,0.8,3,2,0.6666666666666666,3.7842809486198146,9,2,0.2222222222222222,2,0.18181818181818182,0.0,0.0,11.5
greedy_damage,rule,easy,easy,1,,204,0,204,-45.961979855171954,50,5,1,2,0.8196975960325743,20,20,1,0,False,0.0013550999956351006,0.027101999912702013,0.8,0,0,0.0,0.8196975960325743,20,0,0.0,0,0.0,0.7123416624692258,0.03561708312346129,22.0
greedy_damage,rule,easy,easy,1,,204,1,205,25.55658035653692,30,5,5,0,0.0,16,16,5,0,True,0.0013641000023199013,0.04547000007733004,0.8,1,0,0.0,0.0,16,0,0.0,0,0.0,2.0982301767654756,0.13113938604784223,20.0
greedy_damage,rule,easy,hard,1,,206,0,206,-136.9765546813623,36,5,1,3,3.500024864035688,11,11,1,0,False,0.000767699993957649,0.021324999832156917,0.8,5,3,0.6,3.500024864035688,11,0,0.0,0,0.0,1.7845143104467407,0.16222857367697643,11.5
greedy_damage,rule,easy,hard,1,,206,1,207,-136.26666351561497,37,5,1,3,3.393374807015833,11,11,1,0,False,0.0008010999990801793,0.02165135132649133,0.8,3,2,0.6666666666666666,3.393374807015833,11,0,0.0,0,0.0,1.0233095601661908,0.09302814183329007,11.5
maskable_ppo,learning,easy,easy,1,1,204,0,204,-66.96117775505402,50,5,0,3,1.5320392585018001,8,8,0,0,False,0.07222479999109055,1.444495999821811,0.8,0,0,0.0,1.5320392585018001,8,0,0.0,0,0.0,0.0,0.0,16.0
maskable_ppo,learning,easy,easy,1,1,204,1,205,-75.54856233967978,50,5,0,4,1.8182854113226583,8,8,0,0,False,0.06675360000190267,1.3350720000380534,0.8,1,1,1.0,1.8182854113226583,8,0,0.0,0,0.0,0.0,0.0,16.0
maskable_ppo,learning,easy,hard,1,1,206,0,206,-114.78737057659623,29,5,0,2,2.527693395158174,4,4,0,0,False,0.03687250000439235,1.2714655173928398,0.8,5,2,0.4,2.527693395158174,2,2,1.0,2,0.5,0.0,0.0,8.0
maskable_ppo,learning,easy,hard,1,1,206,1,207,-132.76666351561497,37,5,1,3,3.393374807015833,4,4,1,0,False,0.03916009999920789,1.0583810810596725,0.8,3,2,0.6666666666666666,3.393374807015833,4,0,0.0,0,0.0,1.0233095601661908,0.2558273900415477,8.0
greedy_damage,rule,medium,easy,0,,200,0,200,-49.35826076687204,50,5,1,1,0.8948437684989364,20,20,1,0,False,0.0013065000075584976,0.026130000151169952,0.8,0,0,0.0,0.8948437684989364,20,0,0.0,0,0.0,0.37528018835496396,0.0187640094177482,22.0
greedy_damage,rule,medium,easy,0,,200,1,201,-10.139829655076845,50,5,4,0,0.0,20,20,4,0,False,0.0015296999899874208,0.030593999799748417,0.8,0,0,0.0,0.0,20,0,0.0,0,0.0,1.6465695173114274,0.08232847586557138,22.0
greedy_damage,rule,medium,hard,0,,202,0,202,-107.38878670703043,20,5,2,2,2.64042244407843,11,11,2,0,False,0.00048179999976127874,0.024089999988063937,0.8,4,2,0.5,2.64042244407843,11,0,0.0,0,0.0,1.6536072293881485,0.15032792994437713,11.5
greedy_damage,rule,medium,hard,0,,202,1,203,-152.7284284585944,27,5,0,4,3.784280948619814,11,11,0,0,False,0.0008961000003182562,0.03318888890067616,0.8,3,2,0.6666666666666666,3.7842809486198146,11,0,0.0,0,0.0,0.0,0.0,11.5
maskable_ppo,learning,medium,easy,0,0,200,0,200,-57.83913076831935,50,5,1,2,1.2701239568539004,16,16,1,0,False,0.05426660000011907,1.0853320000023814,0.8,0,0,0.0,1.2701239568539004,16,0,0.0,0,0.0,0.5829312469644515,0.03643320293527822,20.0
maskable_ppo,learning,medium,easy,0,0,200,1,201,-37.19039535854175,50,5,2,2,0.7038539379007234,8,8,4,0,False,0.048579299998891656,0.9715859999778331,0.8,0,0,0.0,0.7038539379007234,5,3,0.6,3,0.375,0.9427155794107038,0.11783944742633798,16.0
maskable_ppo,learning,medium,hard,0,0,202,0,202,-114.37526398936618,30,5,2,3,2.9758222613448195,11,11,2,0,False,0.028618100001040148,0.9539366667013383,0.8,4,2,0.5,2.9758222613448195,11,0,0.0,0,0.0,2.3812528701750235,0.21647753365227487,11.5
maskable_ppo,learning,medium,hard,0,0,202,1,203,-155.55523125654707,27,5,0,4,3.784280948619814,11,11,0,0,False,0.02475369999592658,0.9168037035528364,0.8,3,2,0.6666666666666666,3.7842809486198146,9,2,0.2222222222222222,2,0.18181818181818182,0.0,0.0,11.5
greedy_damage,rule,medium,easy,1,,204,0,204,-45.961979855171954,50,5,1,2,0.8196975960325743,20,20,1,0,False,0.0011935000111407135,0.02387000022281427,0.8,0,0,0.0,0.8196975960325743,20,0,0.0,0,0.0,0.7123416624692258,0.03561708312346129,22.0
greedy_damage,rule,medium,easy,1,,204,1,205,25.55658035653692,30,5,5,0,0.0,16,16,5,0,True,0.0009141999944404233,0.03047333314801411,0.8,1,0,0.0,0.0,16,0,0.0,0,0.0,2.0982301767654756,0.13113938604784223,20.0
