train_scenario,eval_scenario,method_a,method_b,metric,n_pairs,mean_difference,std_difference,sem_difference,confidence_level,ci_low,ci_high
easy,easy,greedy_damage,maskable_ppo,avg_reward,2,38.467856618123626,31.939042703039217,22.584313679925746,0.95,-248.49305683081707,325.4287700670643
easy,easy,greedy_damage,maskable_ppo,avg_steps,2,-5.0,7.0710678118654755,5.0,0.95,-68.53102368216048,58.53102368216048
easy,easy,greedy_damage,maskable_ppo,success_rate,2,0.25,0.3535533905932738,0.25,0.95,-2.926551184108024,3.426551184108024
easy,easy,greedy_damage,maskable_ppo,intercept_rate,2,0.35,0.3535533905932738,0.25,0.95,-2.8265511841080238,3.526551184108024
easy,easy,greedy_damage,maskable_ppo,leak_rate,2,-0.35,0.21213203435596423,0.14999999999999997,0.95,-2.255930710464814,1.5559307104648137
easy,easy,greedy_damage,maskable_ppo,avg_total_damage,2,-0.8383898655343793,0.6037612461376365,0.42692367136156295,0.95,-6.26296944068365,4.5861897096148905
easy,easy,greedy_damage,maskable_ppo,avg_ammo_used,2,5.0,7.0710678118654755,5.0,0.95,-58.53102368216048,68.53102368216048
easy,easy,greedy_damage,maskable_ppo,avg_shots,2,5.0,7.0710678118654755,5.0,0.95,-58.53102368216048,68.53102368216048
easy,easy,greedy_damage,maskable_ppo,hit_rate_per_shot,2,0.07083333333333333,0.1355287997274216,0.09583333333333333,0.95,-1.1468446205747425,1.288511287241409
easy,easy,greedy_damage,maskable_ppo,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
easy,easy,greedy_damage,maskable_ppo,avg_decision_time_ms,2,-1.2057609998737462,0.21217870351913237,0.15003300008174847,0.95,-3.1121110161335754,0.7005890163860831
easy,easy,greedy_damage,maskable_ppo,high_threat_leak_rate,2,-0.5,0.7071067811865476,0.5,0.95,-6.853102368216048,5.853102368216048
easy,easy,greedy_damage,maskable_ppo,avg_zone_weighted_damage,2,-0.8383898655343793,0.6037612461376365,0.42692367136156295,0.95,-6.26296944068365,4.5861897096148905
easy,easy,greedy_damage,maskable_ppo,assignment_conflict_rate,2,-0.04054054054054054,0.05733298225836872,0.040540540540540536,0.95,-0.5556569487742741,0.47457586769319293
easy,easy,greedy_damage,maskable_ppo,overkill_rate,2,-0.0375,0.053033008588991064,0.0375,0.95,-0.5139826776162035,0.4389826776162036
easy,easy,greedy_damage,maskable_ppo,damage_reduction_per_ammo,2,0.04203573425663562,0.050962183761888186,0.03603570572210609,0.95,-0.415841320470262,0.4999127889835332
