method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
greedy_damage,rule,easy,easy,0,,200,0,0,0.0,,2.0,-29.749045210974444,19.6092155558976,50.0,0.0,0.5,0.1,0.4474218842494682,20.0,20.0,0.125,0.0,0.025348000108351698,0.0,0.4474218842494682,0.0,0.0,0.050546242641659786,22.0
greedy_damage,rule,easy,hard,0,,202,0,0,0.0,,2.0,-130.0586075828124,22.669820875781987,23.5,0.0,0.2,0.6,3.2123516963491223,11.0,11.0,0.09090909090909091,0.0,0.02365744663582015,0.5714285714285714,3.2123516963491223,0.0,0.0,0.07516396497218857,11.5
maskable_ppo,learning,easy,easy,0,0,200,16,16,1.1013460000012856,results\air_defense_v1\task5_smoke_2x2\models\easy\maskable_ppo_seed0.zip,2.0,-45.63258814917232,14.206542619147035,50.0,0.0,0.4,0.3,0.8588880784222845,20.0,20.0,0.15,0.0,1.0810759999003494,0.0,0.8588880784222845,0.08108108108108109,0.075,0.04454621410713026,22.0
maskable_ppo,learning,easy,hard,0,0,202,16,16,1.1013460000012856,results\air_defense_v1\task5_smoke_2x2\models\easy\maskable_ppo_seed0.zip,2.0,-138.55711377053845,16.99811748600863,28.5,0.0,0.2,0.7,3.4813170853925826,11.0,11.0,0.09090909090909091,0.0,1.0075894738532185,0.5714285714285714,3.4813170853925826,0.1,0.09090909090909091,0.09903281406156784,11.5
greedy_damage,rule,easy,easy,1,,204,0,0,0.0,,2.0,-10.202699749317517,35.75928010585444,40.0,0.5,0.6,0.2,0.40984879801628715,18.0,18.0,0.16666666666666666,0.0,0.033989999974437524,0.0,0.40984879801628715,0.0,0.0,0.07807143997874172,21.0
greedy_damage,rule,easy,hard,1,,206,0,0,0.0,,2.0,-136.62160909848865,0.3549455828736683,36.5,0.0,0.2,0.6,3.4466998355257603,11.0,11.0,0.09090909090909091,0.0,0.021490410863531893,0.625,3.4466998355257603,0.0,0.0,0.12762835775513326,11.5
maskable_ppo,learning,easy,easy,1,1,204,16,16,0.28597309999895515,results\air_defense_v1\task5_smoke_2x2\models\easy\maskable_ppo_seed1.zip,2.0,-71.2548700473669,4.293692292312876,50.0,0.0,0.0,0.7,1.6751623349122293,8.0,8.0,0.0,0.0,1.3897839999299322,1.0,1.6751623349122293,0.0,0.0,0.0,16.0
maskable_ppo,learning,easy,hard,1,1,206,16,16,0.28597309999895515,results\air_defense_v1\task5_smoke_2x2\models\easy\maskable_ppo_seed1.zip,2.0,-123.7770170461056,8.989646469509367,33.0,0.0,0.1,0.5,2.9605341010870037,4.0,4.0,0.125,0.0,1.15200909096364,0.5,2.9605341010870037,0.3333333333333333,0.25,0.12791369502077385,8.0
greedy_damage,rule,medium,easy,0,,200,0,0,0.0,,2.0,-29.749045210974444,19.6092155558976,50.0,0.0,0.5,0.1,0.4474218842494682,20.0,20.0,0.125,0.0,0.028361999975459184,0.0,0.4474218842494682,0.0,0.0,0.050546242641659786,22.0
greedy_damage,rule,medium,hard,0,,202,0,0,0.0,,2.0,-130.0586075828124,22.669820875781987,23.5,0.0,0.2,0.6,3.2123516963491223,11.0,11.0,0.09090909090909091,0.0,0.029317021278287978,0.5714285714285714,3.2123516963491223,0.0,0.0,0.07516396497218857,11.5
