method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
ppo,medium,medium,0,0,0,10000,0.325407999998788,10.0,-645.8357119007526,131.20532336592214,46.1,0.0,0.28,0.56,1.819636406306047,11.2,11.2,0.13392857142857142,115.1,0.49202581341844304,0.6428571428571429,1.819636406306047,0.05660377358490566,0.05357142857142857,0.09089260585384047,12.95
ppo,medium,medium,0,0,5000,10000,9.914298099998632,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,0.5037410869748704,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
ppo,medium,medium,0,0,10000,10000,21.437600499999462,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,0.447600434824341,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
ppo,medium,medium,0,0,15000,10000,30.423831500000233,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,0.4802558694910144,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
ppo,medium,medium,0,0,20000,10000,39.56433029999971,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,0.45034347821970383,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
ppo,medium,medium,0,0,20224,10000,40.24827279999954,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,0.44915673919525073,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
maskable_ppo,medium,medium,0,0,0,10000,0.5117924999995012,10.0,-67.48067451381696,36.345848015091846,46.1,0.0,0.32,0.52,1.6208838281993472,13.3,13.3,0.15789473684210525,0.0,0.903236008659865,0.5714285714285714,1.620883828199347,0.1565217391304348,0.13533834586466165,0.09273841544984752,15.65
maskable_ppo,medium,medium,0,0,5000,10000,12.901851399999941,10.0,-52.68115341788855,19.38085205074865,46.7,0.0,0.4,0.42,1.3325890851998126,16.0,16.0,0.15,0.0,0.853540899386087,0.5,1.3325890851998126,0.08843537414965986,0.08125,0.08971543229112525,17.0
maskable_ppo,medium,medium,0,0,10000,10000,28.74643130000004,10.0,-47.154774330153664,26.97289899770662,47.0,0.0,0.42,0.38,1.19340879428605,15.0,15.0,0.18666666666666668,0.0,1.7371785106196842,0.42857142857142855,1.19340879428605,0.10526315789473684,0.11333333333333333,0.10134101378096284,15.6
maskable_ppo,medium,medium,0,0,15000,10000,50.168813399999635,10.0,-75.13920658094358,25.00447720198502,46.4,0.0,0.18,0.56,1.9061633214754885,8.4,8.4,0.15476190476190477,0.0,1.670344396510198,0.5714285714285714,1.9061633214754885,0.18309859154929578,0.15476190476190477,0.07051520198390841,11.1
maskable_ppo,medium,medium,0,0,20000,10000,71.74076670000068,10.0,-84.79311212071448,37.10551230470465,46.4,0.0,0.12,0.64,2.207029270323638,3.0,3.0,0.2,0.0,1.6828129310099407,0.7857142857142857,2.207029270323638,0.0,0.0,0.12421301599210374,4.5
