method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
greedy_damage,rule,medium,easy,0,,200,0,0,0.0,,50.0,-17.356871889351915,24.067155344771663,46.4,0.16,0.612,0.14,0.3190160635857077,18.26,18.26,0.16757940854326397,0.0,0.022548275855711085,0.08333333333333333,0.3190160635857077,0.0,0.0,0.07963020307608462,21.04
greedy_damage,rule,medium,medium,0,,250,0,0,0.0,,50.0,-33.19484455362649,35.568133654489785,45.7,0.06,0.544,0.26,0.8797954063295417,15.7,15.7,0.1732484076433121,0.0,0.020185032805408294,0.25,0.8797954063295418,0.0,0.0,0.12471082400323327,16.85
greedy_damage,rule,medium,hard,0,,300,0,0,0.0,,50.0,-103.89680377712129,34.22521349474318,33.34,0.0,0.368,0.504,2.746098533210435,11.0,11.0,0.16727272727272727,0.0,0.018873485283161153,0.48633879781420764,2.746098533210435,0.0,0.0,0.18263747877149608,11.5
greedy_damage,rule,medium,time_pressure,0,,350,0,0,0.0,,50.0,-51.14338781662741,38.625613568590644,34.42,0.06,0.56,0.432,1.4923163976259803,15.84,15.84,0.17676767676767677,0.0,0.02396943636361112,0.43636363636363634,1.4923163976259803,0.0,0.0,0.1280062428813953,16.92
greedy_damage,rule,medium,resource_pressure,0,,400,0,0,0.0,,50.0,-67.08056721792587,40.491904880478664,47.4,0.02,0.284,0.508,1.7695013064351535,9.94,9.94,0.14285714285714285,0.0,0.019678691979272946,0.5092592592592593,1.7695013064351535,0.0,0.0,0.10941214299263428,10.97
greedy_damage,rule,medium,intercept_uncertainty,0,,450,0,0,0.0,,50.0,-51.75650504390984,34.651934630328284,46.7,0.0,0.424,0.38,1.3466006798714094,16.0,16.0,0.1325,0.0,0.0256765310220546,0.40707964601769914,1.3466006798714094,0.0,0.0,0.09812469681915037,17.0
greedy_damage,rule,medium,damage_pressure,0,,500,0,0,0.0,,50.0,-72.00259953099858,53.6583520849704,42.8,0.04,0.48,0.312,1.9499570503407184,15.88,15.88,0.15113350125944586,0.0,0.024648084100615995,0.312,1.9499570503407184,0.0,0.0,0.19340738469586338,16.94
greedy_damage,rule,medium,heterogeneity_pressure,0,,550,0,0,0.0,,50.0,-44.91924619462289,42.26258561060125,46.86,0.06,0.468,0.34,1.1958486903542123,15.98,15.98,0.14643304130162704,0.0,0.022912377275420094,0.3627450980392157,1.1958486903542123,0.0,0.0,0.1077499264528165,15.395
hungarian_damage,rule,medium,easy,0,,200,0,0,0.0,,50.0,-17.00979951311218,23.883390933542298,46.4,0.16,0.616,0.14,0.31229961790573213,18.26,18.26,0.1686746987951807,0.0,0.03393525862285405,0.08333333333333333,0.31229961790573213,0.0,0.0,0.08052603987125806,21.04
hungarian_damage,rule,medium,medium,0,,250,0,0,0.0,,50.0,-32.088542363151994,35.94460607041056,45.96,0.08,0.548,0.252,0.8583531172712773,15.7,15.7,0.17452229299363056,0.0,0.03041984337553678,0.2619047619047619,0.8583531172712775,0.0,0.0,0.12449236248587679,16.85
