train_scenario,eval_scenario,method_a,method_b,metric,n_pairs,mean_difference,std_difference,sem_difference,confidence_level,ci_low,ci_high
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_reward,5,0.015788795751075214,0.5460289480248868,0.24419156909326925,0.95,-0.6621956909885023,0.6937732824906526
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_steps,5,0.14999999999999858,0.13416407864998678,0.05999999999999973,0.95,-0.016586706311868593,0.31658670631186575
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,intercept_rate,5,-0.0015999999999999903,0.0032863353450309895,0.0014696938456699037,0.95,-0.005680524283949524,0.002480524283949543
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,leak_rate,5,0.0,0.004690415759823434,0.002097617696340305,0.95,-0.005823920385580322,0.005823920385580322
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_total_damage,5,-0.0011079009311413478,0.015457074125542028,0.006912613695593018,0.95,-0.020300393390393846,0.018084591528111153
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_ammo_used,5,-0.013999999999999702,0.052725705305856324,0.023579652245103215,0.95,-0.07946761005818281,0.051467610058183406
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_shots,5,-0.013999999999999702,0.052725705305856324,0.023579652245103215,0.95,-0.07946761005818281,0.051467610058183406
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,hit_rate_per_shot,5,-0.0003865762679883367,0.0012627507448379274,0.0005647193008192195,0.95,-0.001954488406558582,0.0011813358705819086
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_decision_time_ms,5,-0.01169384698871467,0.002621452461342071,0.0011723491806690022,0.95,-0.01494881013296577,-0.00843888384446357
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,high_threat_leak_rate,5,0.002807499475289299,0.007121401923090092,0.0031847877590254346,0.95,-0.006034888909350736,0.011649887859929334
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_zone_weighted_damage,5,-0.0011079009311413923,0.015457074125542068,0.006912613695593036,0.95,-0.020300393390393943,0.01808459152811116
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,assignment_conflict_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,overkill_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,damage_reduction_per_ammo,5,-8.369055846779438e-05,0.0009997452866414007,0.00044709968422303685,0.95,-0.0013250382882643264,0.0011576571713287377
medium,heterogeneity_pressure,greedy_damage,hungarian_damage,avg_resource_cost,5,-0.0035000000000000144,0.0131814263264634,0.0058949130612754985,0.95,-0.019866902514544944,0.012866902514544917
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_reward,5,2.475774405457629,6.257911729892905,2.7986232050467676,0.95,-5.294449293487444,10.245998104402704
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_steps,5,1.6920000000000015,1.6668743203973102,0.7454488580714299,0.95,-0.37769783316770855,3.7616978331677116
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,success_rate,5,-0.024,0.03577708763999663,0.015999999999999997,0.95,-0.06842312168316478,0.02042312168316477
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,intercept_rate,5,0.0008000000000000119,0.05391845695121478,0.02411306699696246,0.95,-0.066148606835023,0.06774860683502301
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,leak_rate,5,-0.018399999999999993,0.04013477295313878,0.01794881611694766,0.95,-0.06823390265199468,0.031433902651994694
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_total_damage,5,-0.09884064247874451,0.11627457385491716,0.0519995702388829,0.95,-0.24321459474088009,0.045533309783391054
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_ammo_used,5,1.8420000000000005,1.827271189506364,0.8171805186126261,0.95,-0.4268568509650237,4.110856850965025
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_shots,5,1.8420000000000005,1.827271189506364,0.8171805186126261,0.95,-0.4268568509650237,4.110856850965025
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,hit_rate_per_shot,5,-0.02978748361035058,0.046167724980924744,0.02064683428477258,0.95,-0.0871122855981375,0.027537318377436344
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_decision_time_ms,5,-0.8983012197561863,0.09300696018384082,0.04159397707033688,0.95,-1.0137846137988327,-0.78281782571354
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,high_threat_leak_rate,5,-0.04142411090884422,0.03612808424753983,0.016156970454867678,0.95,-0.08628305244308704,0.003434830625398594
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_zone_weighted_damage,5,-0.09884064247874455,0.11627457385491717,0.05199957023888291,0.95,-0.24321459474088014,0.04553330978339104
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,assignment_conflict_rate,5,-0.018809771762836013,0.012473954384605994,0.0055785219904421115,0.95,-0.0342982318374373,-0.00332131168823473
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,overkill_rate,5,-0.018344274142072042,0.012070342989923806,0.005398021487441537,0.95,-0.03333158447863164,-0.003356963805512446
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,damage_reduction_per_ammo,5,-0.01304457714177892,0.02924356031432182,0.013078117753387741,0.95,-0.04935525316337275,0.023266098879814904
medium,heterogeneity_pressure,greedy_damage,maskable_ppo,avg_resource_cost,5,0.6661000000000005,0.7895282135554127,0.35308775113277474,0.95,-0.31422875833789043,1.6464287583378914
medium,heterogeneity_pressure,hungarian_damage,maskable_ppo,avg_reward,5,2.459985609706554,6.455193631890444,2.8868503537661576,0.95,-5.555195924446028,10.475167143859135
