method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
greedy_damage,rule,medium,medium,0,,200,0,0,0.0,,100.0,-37.20816888451353,37.452723480021454,45.76,0.09,0.51,0.302,1.023211724420677,15.61,15.61,0.16335682254964767,0.0,0.021423492135206536,0.3016759776536313,1.023211724420677,0.0,0.0,0.11699520235670235,16.805
greedy_damage,rule,medium,time_pressure,0,,300,0,0,0.0,,100.0,-45.51369378780795,45.522988768748945,33.18,0.14,0.592,0.402,1.3963908762664259,15.71,15.71,0.1884150222788033,0.0,0.025333092217916745,0.3864734299516908,1.3963908762664259,0.0,0.0,0.136125880573588,16.855
greedy_damage,rule,medium,heterogeneity_pressure,0,,400,0,0,0.0,,100.0,-49.48764305417889,34.45125635356455,47.56,0.01,0.434,0.386,1.3168327025300817,15.7,15.7,0.13821656050955414,0.0,0.025773149703137217,0.38461538461538464,1.3168327025300814,0.0,0.0,0.10502060430509935,15.325000000000006
hungarian_damage,rule,medium,medium,0,,200,0,0,0.0,,100.0,-36.284541111607176,37.611570672991746,45.89,0.1,0.516,0.296,1.003580886668508,15.61,15.61,0.16527866752082,0.0,0.03303754628914627,0.30726256983240224,1.003580886668508,0.0,0.0,0.11784185289551274,16.805
hungarian_damage,rule,medium,time_pressure,0,,300,0,0,0.0,,100.0,-46.39010227498274,46.45953015051529,33.22,0.14,0.588,0.406,1.4054046738074488,15.68,15.68,0.1875,0.0,0.03388323299775045,0.3961352657004831,1.4054046738074488,0.0,0.0,0.13581146596109978,16.84
hungarian_damage,rule,medium,heterogeneity_pressure,0,,400,0,0,0.0,,100.0,-49.85530652438141,34.25043436515665,47.52,0.01,0.434,0.39,1.3291598698619682,15.7,15.7,0.13821656050955414,0.0,0.03627598906322502,0.3891402714932127,1.3291598698619682,0.0,0.0,0.10499929264414704,15.325000000000006
maskable_ppo,learning,medium,medium,0,0,200,100000,100096,236.71527360000073,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed0.zip,100.0,-28.421496311092543,36.13059047873064,44.46,0.12,0.582,0.238,0.8197904622028735,15.45,15.45,0.19935275080906148,0.0,0.8960473459456655,0.24581005586592178,0.8197904622028735,0.01912928759894459,0.018770226537216828,0.13160818575222677,16.65
maskable_ppo,learning,medium,time_pressure,0,0,300,100000,100096,236.71527360000073,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed0.zip,100.0,-41.97788756255561,51.920655893511956,31.18,0.2,0.628,0.358,1.3206261456218837,14.98,14.98,0.22229639519359146,0.0,1.0390006414380901,0.40096618357487923,1.3206261456218837,0.025325119780971937,0.024699599465954607,0.14607059321754523,16.31
maskable_ppo,learning,medium,heterogeneity_pressure,0,0,400,100000,100096,236.71527360000073,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed0.zip,100.0,-54.078946066355584,38.75131685928566,47.16,0.02,0.426,0.394,1.4226878398880636,15.5,15.5,0.1432258064516129,0.0,0.9551192536092906,0.4343891402714932,1.4226878398880636,0.01772816808929744,0.017419354838709676,0.09780852480330636,15.122000000000007
greedy_damage,rule,medium,medium,1,,500,0,0,0.0,,100.0,-41.59951720872605,41.812162350637394,46.16,0.07,0.51,0.31,1.0944543745699016,15.88,15.88,0.1605793450881612,0.0,0.024592136042273786,0.30256410256410254,1.0944543745699016,0.0,0.0,0.11668363790406824,16.94
