method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
maskable_ppo,medium,medium,0,0,0,10000,0.5866679999999178,10.0,-67.48067451381696,36.345848015091846,46.1,0.0,0.32,0.52,1.6208838281993472,13.3,13.3,0.15789473684210525,0.0,1.0254535790805683,0.5714285714285714,1.620883828199347,0.1565217391304348,0.13533834586466165,0.09273841544984752,15.65
maskable_ppo,medium,medium,0,0,10000,10000,25.28733740000098,10.0,-47.154774330153664,26.97289899770662,47.0,0.0,0.42,0.38,1.19340879428605,15.0,15.0,0.18666666666666668,0.0,0.8679289361177152,0.42857142857142855,1.19340879428605,0.10526315789473684,0.11333333333333333,0.10134101378096284,15.6
maskable_ppo,medium,medium,0,0,20000,10000,54.277902099998755,10.0,-84.79311212071448,37.10551230470465,46.4,0.0,0.12,0.64,2.207029270323638,3.0,3.0,0.2,0.0,1.1143931034721704,0.7857142857142857,2.207029270323638,0.0,0.0,0.12421301599210374,4.5
maskable_ppo,medium,medium,0,0,30000,10000,84.20435410000209,10.0,-64.70882214994228,37.184021773754694,44.8,0.0,0.3,0.5,1.7918770536386557,4.5,4.5,0.3333333333333333,0.0,0.8884468749670305,0.7857142857142857,1.7918770536386557,0.0,0.0,0.20397640666116057,8.7
maskable_ppo,medium,medium,0,0,30208,10000,85.25291230000221,10.0,-70.17209866526063,34.449575765017876,45.5,0.0,0.22,0.56,1.958800865057033,3.6,3.6,0.3055555555555556,0.0,0.8940714286466943,0.7142857142857143,1.958800865057033,0.0,0.0,0.18605353288811527,7.2
conflict_free_maskable_ppo,medium,medium,0,0,0,10000,0.32892790000187233,10.0,-42.42584159990145,25.986876050909814,46.0,0.0,0.46,0.38,1.1930013621334121,10.8,10.8,0.21296296296296297,0.0,0.5013526087603405,0.42857142857142855,1.1930013621334121,0.0,0.0,0.15145425956043823,13.95
conflict_free_maskable_ppo,medium,medium,0,0,10000,10000,16.871383000001515,10.0,-70.49021062792616,28.822272018374374,46.4,0.0,0.24,0.56,1.881373303990835,5.4,5.4,0.2222222222222222,0.0,0.4989915947778078,0.7142857142857143,1.881373303990835,0.0,0.0,0.15633701397180874,10.8
conflict_free_maskable_ppo,medium,medium,0,0,20000,10000,34.42086290000225,10.0,-61.607405212236685,23.981632362881474,46.6,0.0,0.34,0.46,1.6130367006609336,12.4,12.4,0.13709677419354838,0.0,0.5918809012749083,0.5714285714285714,1.6130367006609336,0.0,0.0,0.0897222966756184,14.75
conflict_free_maskable_ppo,medium,medium,0,0,30000,10000,55.76044929999989,10.0,-57.723371171631285,32.4426255042682,45.6,0.0,0.42,0.42,1.5483713556817649,10.9,10.9,0.1926605504587156,0.0,0.518080921003211,0.6428571428571429,1.5483713556817646,0.0,0.0,0.11425996607178543,14.3
conflict_free_maskable_ppo,medium,medium,0,0,30208,10000,56.488194000001386,10.0,-45.20830836562656,31.33590540793706,42.9,0.1,0.52,0.4,1.3638169882223201,13.6,13.6,0.19117647058823528,0.0,0.5222533799134361,0.6428571428571429,1.36381698822232,0.0,0.0,0.12821631535766828,15.5
