method,train_scenario,eval_scenario,timesteps,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
conflict_free_maskable_ppo,medium,medium,0,avg_reward,2,-45.50991867132989,29.96489055293686,21.18837730749437,0.95,-314.7337787731252,223.7139414304654
conflict_free_maskable_ppo,medium,medium,0,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,0,intercept_rate,2,0.4,0.282842712474619,0.19999999999999998,0.95,0.0,1.0
conflict_free_maskable_ppo,medium,medium,0,avg_total_damage,2,1.083537112957368,0.7869312365549735,0.5564444136955369,0.95,0.0,8.153833757816779
conflict_free_maskable_ppo,medium,medium,0,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,128,avg_reward,2,-45.50991867132989,29.96489055293686,21.18837730749437,0.95,-314.7337787731252,223.7139414304654
conflict_free_maskable_ppo,medium,medium,128,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,128,intercept_rate,2,0.4,0.282842712474619,0.19999999999999998,0.95,0.0,1.0
conflict_free_maskable_ppo,medium,medium,128,avg_total_damage,2,1.083537112957368,0.7869312365549735,0.5564444136955369,0.95,0.0,8.153833757816779
conflict_free_maskable_ppo,medium,medium,128,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,256,avg_reward,2,-45.50991867132989,29.96489055293686,21.18837730749437,0.95,-314.7337787731252,223.7139414304654
conflict_free_maskable_ppo,medium,medium,256,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,256,intercept_rate,2,0.4,0.282842712474619,0.19999999999999998,0.95,0.0,1.0
conflict_free_maskable_ppo,medium,medium,256,avg_total_damage,2,1.083537112957368,0.7869312365549735,0.5564444136955369,0.95,0.0,8.153833757816779
conflict_free_maskable_ppo,medium,medium,256,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
maskable_ppo,medium,medium,0,avg_reward,2,-47.41752265361442,27.267131129553157,19.28077332520984,0.95,-292.40297600046927,197.56793069324044
maskable_ppo,medium,medium,0,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
maskable_ppo,medium,medium,0,intercept_rate,2,0.30000000000000004,0.14142135623730953,0.1,0.95,0.0,1.0
maskable_ppo,medium,medium,0,avg_total_damage,2,1.0278226577295928,0.8657233747583218,0.6121588689233122,0.95,0.0,8.806038577491895
maskable_ppo,medium,medium,0,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
maskable_ppo,medium,medium,128,avg_reward,2,-47.41752265361442,27.267131129553157,19.28077332520984,0.95,-292.40297600046927,197.56793069324044
maskable_ppo,medium,medium,128,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
maskable_ppo,medium,medium,128,intercept_rate,2,0.30000000000000004,0.14142135623730953,0.1,0.95,0.0,1.0
maskable_ppo,medium,medium,128,avg_total_damage,2,1.0278226577295928,0.8657233747583218,0.6121588689233122,0.95,0.0,8.806038577491895
maskable_ppo,medium,medium,128,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
maskable_ppo,medium,medium,256,avg_reward,2,-47.41752265361442,27.267131129553157,19.28077332520984,0.95,-292.40297600046927,197.56793069324044
maskable_ppo,medium,medium,256,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
maskable_ppo,medium,medium,256,intercept_rate,2,0.30000000000000004,0.14142135623730953,0.1,0.95,0.0,1.0
maskable_ppo,medium,medium,256,avg_total_damage,2,1.0278226577295928,0.8657233747583218,0.6121588689233122,0.95,0.0,8.806038577491895
maskable_ppo,medium,medium,256,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
