method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
maskable_ppo,medium,medium,0,0,0,10000,0.05329079999864916,1.0,-28.136749328404576,0.0,50.0,0.0,0.4,0.2,0.4156637888062806,16.0,16.0,0.1875,0.0,0.8630839998659212,0.0,0.4156637888062806,0.14285714285714285,0.125,0.05939943351754389,17.0
maskable_ppo,medium,medium,0,0,128,10000,0.30893989999822224,1.0,-28.136749328404576,0.0,50.0,0.0,0.4,0.2,0.4156637888062806,16.0,16.0,0.1875,0.0,0.9250200004316866,0.0,0.4156637888062806,0.14285714285714285,0.125,0.05939943351754389,17.0
maskable_ppo,medium,medium,0,0,256,10000,0.5747382999979891,1.0,-28.136749328404576,0.0,50.0,0.0,0.4,0.2,0.4156637888062806,16.0,16.0,0.1875,0.0,0.9421019999717828,0.0,0.4156637888062806,0.14285714285714285,0.125,0.05939943351754389,17.0
conflict_free_maskable_ppo,medium,medium,0,0,0,10000,0.05823270000109915,1.0,-24.321541363835525,0.0,50.0,0.0,0.6,0.2,0.5270926992618311,16.0,16.0,0.1875,0.0,0.8024740002292674,0.0,0.5270926992618311,0.0,0.0,0.10024366370972956,17.0
conflict_free_maskable_ppo,medium,medium,0,0,128,10000,0.28510349999851314,1.0,-24.321541363835525,0.0,50.0,0.0,0.6,0.2,0.5270926992618311,16.0,16.0,0.1875,0.0,0.5926240001281258,0.0,0.5270926992618311,0.0,0.0,0.10024366370972956,17.0
conflict_free_maskable_ppo,medium,medium,0,0,256,10000,0.46955610000077286,1.0,-24.321541363835525,0.0,50.0,0.0,0.6,0.2,0.5270926992618311,16.0,16.0,0.1875,0.0,0.4748380000819452,0.0,0.5270926992618311,0.0,0.0,0.10024366370972956,17.0
maskable_ppo,medium,medium,1,1,0,10001,0.06012890000056359,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.9664340000745142,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
maskable_ppo,medium,medium,1,1,128,10001,0.3184947000008833,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.842092000239063,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
maskable_ppo,medium,medium,1,1,256,10001,0.5582013999992341,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.8258279998699436,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
conflict_free_maskable_ppo,medium,medium,1,1,0,10001,0.044747200001438614,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.6115080002928153,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
conflict_free_maskable_ppo,medium,medium,1,1,128,10001,0.21350579999852926,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.5042840004171012,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
conflict_free_maskable_ppo,medium,medium,1,1,256,10001,0.37186709999878076,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.4827159996057162,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
