method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
greedy_damage,rule,medium,medium,0,,200,0,0,0.0,,50.0,-41.22149321540057,38.834357418508574,45.82,0.12,0.476,0.344,1.1666280425118127,15.52,15.52,0.15335051546391754,0.0,0.02138284590267389,0.3473684210526316,1.1666280425118127,0.0,0.0,0.10919009540756987,16.76
greedy_damage,rule,medium,time_pressure,0,,250,0,0,0.0,,50.0,-43.17994123316268,43.856291745902716,34.5,0.12,0.592,0.404,1.2853392449265981,15.56,15.56,0.19023136246786632,0.0,0.023554898545388944,0.34523809523809523,1.2853392449265981,0.0,0.0,0.13997508304023637,16.78
greedy_damage,rule,medium,heterogeneity_pressure,0,,300,0,0,0.0,,50.0,-40.73279179571559,32.63180294294086,47.1,0.0,0.508,0.328,1.1007730520697896,15.88,15.88,0.15994962216624686,0.0,0.022263566902757083,0.26804123711340205,1.1007730520697896,0.0,0.0,0.11367374353393832,15.37
hungarian_damage,rule,medium,medium,0,,200,0,0,0.0,,50.0,-40.48053986006235,38.75607023974224,45.82,0.12,0.484,0.34,1.1488086560657387,15.52,15.52,0.1559278350515464,0.0,0.03148550848621765,0.3473684210526316,1.1488086560657387,0.0,0.0,0.11111421110629136,16.76
hungarian_damage,rule,medium,time_pressure,0,,250,0,0,0.0,,50.0,-43.72561673781378,44.215878780487365,34.54,0.12,0.592,0.404,1.3000719115477182,15.6,15.6,0.18974358974358974,0.0,0.03267029532362231,0.36904761904761907,1.3000719115477182,0.0,0.0,0.13867177086442034,16.8
hungarian_damage,rule,medium,heterogeneity_pressure,0,,300,0,0,0.0,,50.0,-39.829526030629026,34.013825345683514,47.08,0.02,0.512,0.324,1.0903792416222575,15.88,15.88,0.16120906801007556,0.0,0.032136108754674514,0.26804123711340205,1.0903792416222575,0.0,0.0,0.11432826560242272,15.37
maskable_ppo,learning,medium,medium,0,0,200,30000,30208,91.4089853000005,results\air_defense_v1\task9_autoregressive_screening_30k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-85.18054773748656,33.1197379837745,45.66,0.0,0.14,0.624,2.1878554492575537,4.32,4.32,0.16203703703703703,0.0,0.9888475251882937,0.6,2.1878554492575537,0.0,0.0,0.11274520271220274,8.25
maskable_ppo,learning,medium,time_pressure,0,0,250,30000,30208,91.4089853000005,results\air_defense_v1\task9_autoregressive_screening_30k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-96.29601120547608,30.478388172223298,34.8,0.0,0.22,0.732,2.5558029994959206,3.98,3.98,0.27638190954773867,0.0,0.9383866092488377,0.7619047619047619,2.5558029994959206,0.0,0.0,0.18494273568485517,7.87
maskable_ppo,learning,medium,heterogeneity_pressure,0,0,300,30000,30208,91.4089853000005,results\air_defense_v1\task9_autoregressive_screening_30k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-77.16332473520873,35.01687477241677,46.62,0.0,0.224,0.6,2.0515371873369723,4.34,4.34,0.25806451612903225,0.0,0.9155458172347061,0.5360824742268041,2.0515371873369723,0.0,0.0,0.18551258520048985,9.194999999999999
conflict_free_maskable_ppo,learning,medium,medium,0,0,200,30000,30208,60.4523732000016,results\air_defense_v1\task9_autoregressive_screening_30k_3seeds\models\medium\conflict_free_maskable_ppo_seed0.zip,50.0,-53.12209433754014,34.92585422936403,47.12,0.02,0.408,0.404,1.400549005749026,14.2,14.2,0.14366197183098592,0.0,0.527494312407815,0.42105263157894735,1.400549005749026,0.0,0.0,0.10114689244176528,15.95
