method,train_scenario,eval_scenario,timesteps,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
autoregressive_maskable_ppo,medium,medium,0,avg_reward,2,-56.16474655081379,14.896688461019771,10.533549428010474,0.95,-190.00618218444205,77.67668908281448
autoregressive_maskable_ppo,medium,medium,0,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_maskable_ppo,medium,medium,0,intercept_rate,2,0.2,0.0,0.0,0.95,0.2,0.2
autoregressive_maskable_ppo,medium,medium,0,avg_total_damage,2,1.2913690073605082,0.4930125527963596,0.3486125192923966,0.95,0.0,5.720911051173084
autoregressive_maskable_ppo,medium,medium,0,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_maskable_ppo,medium,medium,128,avg_reward,2,-56.16474655081379,14.896688461019771,10.533549428010474,0.95,-190.00618218444205,77.67668908281448
autoregressive_maskable_ppo,medium,medium,128,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_maskable_ppo,medium,medium,128,intercept_rate,2,0.2,0.0,0.0,0.95,0.2,0.2
autoregressive_maskable_ppo,medium,medium,128,avg_total_damage,2,1.2913690073605082,0.4930125527963596,0.3486125192923966,0.95,0.0,5.720911051173084
autoregressive_maskable_ppo,medium,medium,128,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_maskable_ppo,medium,medium,256,avg_reward,2,-56.16474655081379,14.896688461019771,10.533549428010474,0.95,-190.00618218444205,77.67668908281448
autoregressive_maskable_ppo,medium,medium,256,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_maskable_ppo,medium,medium,256,intercept_rate,2,0.2,0.0,0.0,0.95,0.2,0.2
autoregressive_maskable_ppo,medium,medium,256,avg_total_damage,2,1.2913690073605082,0.4930125527963596,0.3486125192923966,0.95,0.0,5.720911051173084
autoregressive_maskable_ppo,medium,medium,256,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,0,avg_reward,2,-45.50991867132989,29.96489055293686,21.18837730749437,0.95,-314.7337787731252,223.7139414304654
conflict_free_maskable_ppo,medium,medium,0,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,0,intercept_rate,2,0.4,0.282842712474619,0.19999999999999998,0.95,0.0,1.0
conflict_free_maskable_ppo,medium,medium,0,avg_total_damage,2,1.083537112957368,0.7869312365549735,0.5564444136955369,0.95,0.0,8.153833757816779
conflict_free_maskable_ppo,medium,medium,0,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,128,avg_reward,2,-45.50991867132989,29.96489055293686,21.18837730749437,0.95,-314.7337787731252,223.7139414304654
conflict_free_maskable_ppo,medium,medium,128,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,128,intercept_rate,2,0.4,0.282842712474619,0.19999999999999998,0.95,0.0,1.0
conflict_free_maskable_ppo,medium,medium,128,avg_total_damage,2,1.083537112957368,0.7869312365549735,0.5564444136955369,0.95,0.0,8.153833757816779
conflict_free_maskable_ppo,medium,medium,128,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,256,avg_reward,2,-45.50991867132989,29.96489055293686,21.18837730749437,0.95,-314.7337787731252,223.7139414304654
conflict_free_maskable_ppo,medium,medium,256,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
conflict_free_maskable_ppo,medium,medium,256,intercept_rate,2,0.4,0.282842712474619,0.19999999999999998,0.95,0.0,1.0
conflict_free_maskable_ppo,medium,medium,256,avg_total_damage,2,1.083537112957368,0.7869312365549735,0.5564444136955369,0.95,0.0,8.153833757816779
conflict_free_maskable_ppo,medium,medium,256,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
