method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
conflict_free_maskable_ppo,medium,medium,0,0,0,10000,0.04808509999929811,1.0,-24.321541363835525,0.0,50.0,0.0,0.6,0.2,0.5270926992618311,16.0,16.0,0.1875,0.0,0.6849519998650067,0.0,0.5270926992618311,0.0,0.0,0.10024366370972956,17.0
conflict_free_maskable_ppo,medium,medium,0,0,128,10000,0.2382294000017282,1.0,-24.321541363835525,0.0,50.0,0.0,0.6,0.2,0.5270926992618311,16.0,16.0,0.1875,0.0,0.5027880001580343,0.0,0.5270926992618311,0.0,0.0,0.10024366370972956,17.0
conflict_free_maskable_ppo,medium,medium,0,0,256,10000,0.423025799998868,1.0,-24.321541363835525,0.0,50.0,0.0,0.6,0.2,0.5270926992618311,16.0,16.0,0.1875,0.0,0.5344299996795598,0.0,0.5270926992618311,0.0,0.0,0.10024366370972956,17.0
autoregressive_maskable_ppo,medium,medium,0,0,0,10000,0.09393060000002151,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.5388920000987127,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_maskable_ppo,medium,medium,0,0,128,10000,0.4548443000021507,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.3734579999436392,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_maskable_ppo,medium,medium,0,0,256,10000,0.7779592000006232,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.1596500002633547,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
conflict_free_maskable_ppo,medium,medium,1,1,0,10001,0.04843260000052396,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.6807160000607837,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
conflict_free_maskable_ppo,medium,medium,1,1,128,10001,0.23864879999746336,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.485076000331901,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
conflict_free_maskable_ppo,medium,medium,1,1,256,10001,0.40110120000099414,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,0.5123460000322666,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_maskable_ppo,medium,medium,1,1,0,10001,0.10344500000064727,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.695366000130889,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_maskable_ppo,medium,medium,1,1,128,10001,0.4091496000000916,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.0938180001539877,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_maskable_ppo,medium,medium,1,1,256,10001,0.6885914000013145,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.0901219998049783,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
