train_scenario,eval_scenario,method_a,method_b,metric,n_pairs,mean_difference,std_difference,sem_difference,confidence_level,ci_low,ci_high
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_reward,2,-9.455339344985696,5.228773204399226,3.6973009901172063,0.95,-56.43400269762802,37.523324007656626
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_steps,2,-2.0,2.8284271247461903,2.0,0.95,-27.41240947286419,23.41240947286419
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,intercept_rate,2,-0.04999999999999999,0.07071067811865474,0.04999999999999999,0.95,-0.6853102368216046,0.5853102368216045
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,leak_rate,2,0.04999999999999999,0.07071067811865474,0.04999999999999999,0.95,-0.5853102368216045,0.6853102368216046
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_total_damage,2,0.1814022390142369,0.33417612974775085,0.23629820745531016,0.95,-2.8210511637648388,3.183855641793313
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_ammo_used,2,-3.0,0.7071067811865476,0.5,0.95,-9.353102368216048,3.3531023682160477
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_shots,2,-3.0,0.7071067811865476,0.5,0.95,-9.353102368216048,3.3531023682160477
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,hit_rate_per_shot,2,-0.0010879629629629642,0.017906824505048213,0.012662037037037034,0.95,-0.16197439793584154,0.15979847200991562
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_decision_time_ms,2,-0.727138560845815,0.1043836650840812,0.07381039742605926,0.95,-1.6649885822187445,0.21071146052711454
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,high_threat_leak_rate,2,0.25,0.3535533905932738,0.25,0.95,-2.926551184108024,3.426551184108024
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_zone_weighted_damage,2,0.1814022390142369,0.33417612974775085,0.23629820745531016,0.95,-2.8210511637648388,3.183855641793313
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,assignment_conflict_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,overkill_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,damage_reduction_per_ammo,2,-0.0025523676200953707,0.01800738918144937,0.012733147001668122,0.95,-0.164342340362377,0.15923760512218627
medium,medium,conflict_free_maskable_ppo,autoregressive_maskable_ppo,avg_resource_cost,2,-3.75,1.7677669529663689,1.25,0.95,-19.63275592054012,12.13275592054012
